instance;best_makespan;opt_or_unsat_certified;time
J9010_10.sm;75;yes;0,85
J9010_1.sm;77;yes;2,88
J9010_2.sm;95;yes;1,36
J9010_3.sm;112;yes;1,40
J9010_4.sm;94;yes;1,39
J9010_5.sm;78;yes;1,33
J9010_6.sm;92;yes;0,96
J9010_7.sm;83;yes;0,89
J9010_8.sm;81;yes;2,29
J9010_9.sm;88;yes;0,79
J901_10.sm;90;yes;0,33
J9011_10.sm;81;yes;0,65
J9011_1.sm;86;yes;0,84
J9011_2.sm;99;yes;1,18
J9011_3.sm;69;yes;0,83
J9011_4.sm;64;yes;0,80
J9011_5.sm;81;yes;0,01
J9011_6.sm;78;yes;0,01
J9011_7.sm;95;yes;0,01
J9011_8.sm;82;yes;0,98
J9011_9.sm;81;yes;0,01
J901_1.sm;73;yes;0,48
J9012_10.sm;86;yes;0,01
J9012_1.sm;71;yes;0,01
J9012_2.sm;71;yes;0,01
J9012_3.sm;93;yes;0,01
J9012_4.sm;73;yes;0,01
J9012_5.sm;83;yes;0,01
J9012_6.sm;81;yes;0,01
J9012_7.sm;77;yes;0,01
J9012_8.sm;83;yes;0,01
J9012_9.sm;77;yes;0,01
J901_2.sm;92;yes;0,18
J9013_10.sm;131;no;600
J9013_1.sm;151;no;600
J9013_2.sm;138;no;600
J9013_3.sm;118;no;600
J9013_4.sm;122;no;600
J9013_5.sm;123;no;600
J9013_6.sm;134;no;600
J9013_7.sm;135;no;600
J9013_8.sm;130;no;600
J9013_9.sm;134;no;600
J901_3.sm;66;yes;0,23
J9014_10.sm;85;yes;2,15
J9014_1.sm;89;yes;3,07
J9014_2.sm;79;yes;4,30
J9014_3.sm;94;yes;3,72
J9014_4.sm;88;yes;1,37
J9014_5.sm;84;yes;1,54
J9014_6.sm;76;yes;23,24
J9014_7.sm;86;yes;1,48
J9014_8.sm;80;yes;1,97
J9014_9.sm;112;yes;2,52
J901_4.sm;86;yes;0,33
J9015_10.sm;78;yes;1,62
J9015_1.sm;76;yes;1,83
J9015_2.sm;71;yes;1,03
J9015_3.sm;82;yes;0,01
J9015_4.sm;92;yes;2,70
J9015_5.sm;93;yes;1,19
J9015_6.sm;61;yes;0,82
J9015_7.sm;82;yes;1,20
J9015_8.sm;82;yes;1,36
J9015_9.sm;83;yes;0,97
J901_5.sm;87;yes;0,45
J9016_10.sm;71;yes;0,01
J9016_1.sm;85;yes;0,01
J9016_2.sm;71;yes;0,01
J9016_3.sm;73;yes;0,01
J9016_4.sm;69;yes;0,01
J9016_5.sm;71;yes;0,01
J9016_6.sm;74;yes;0,01
J9016_7.sm;65;yes;0,01
J9016_8.sm;71;yes;0,01
J9016_9.sm;66;yes;0,01
J901_6.sm;74;yes;0,30
J9017_10.sm;89;yes;0,34
J9017_1.sm;92;yes;0,43
J9017_2.sm;100;yes;0,66
J9017_3.sm;89;yes;0,20
J9017_4.sm;94;yes;0,16
J9017_5.sm;113;yes;0,34
J9017_6.sm;94;yes;0,17
J9017_7.sm;80;yes;0,40
J9017_8.sm;113;yes;0,38
J9017_9.sm;96;yes;0,25
J901_7.sm;91;yes;0,15
J9018_10.sm;94;yes;0,10
J9018_1.sm;101;yes;0,01
J9018_2.sm;94;yes;0,21
J9018_3.sm;83;yes;0,10
J9018_4.sm;98;yes;0,19
J9018_5.sm;90;yes;0,16
J9018_6.sm;83;yes;0,09
J9018_7.sm;73;yes;0,10
J9018_8.sm;92;yes;0,09
J9018_9.sm;79;yes;0,19
J901_8.sm;95;yes;0,39
J9019_10.sm;85;yes;0,13
J9019_1.sm;98;yes;0,13
J9019_2.sm;83;yes;0,10
J9019_3.sm;89;yes;0,10
J9019_4.sm;77;yes;0,11
J9019_5.sm;66;yes;0,14
J9019_6.sm;136;yes;0,01
J9019_7.sm;66;yes;0,07
J9019_8.sm;91;yes;0,01
J9019_9.sm;121;yes;0,01
J901_9.sm;72;yes;0,25
J9020_10.sm;89;yes;0,01
J9020_1.sm;85;yes;0,01
J9020_2.sm;76;yes;0,01
J9020_3.sm;86;yes;0,01
J9020_4.sm;86;yes;0,01
J9020_5.sm;88;yes;0,01
J9020_6.sm;83;yes;0,01
J9020_7.sm;82;yes;0,01
J9020_8.sm;85;yes;0,01
J9020_9.sm;76;yes;0,01
J902_10.sm;80;yes;0,17
J9021_10.sm;109;yes;55,14
J9021_1.sm;110;no;600
J9021_2.sm;116;yes;414,97
J9021_3.sm;124;yes;25,12
J9021_4.sm;106;yes;6,01
J9021_5.sm;112;yes;210,45
J9021_6.sm;106;yes;121,52
J9021_7.sm;112;no;600
J9021_8.sm;111;no;600
J9021_9.sm;121;yes;342,69
J902_1.sm;96;yes;0,28
J9022_10.sm;75;yes;0,76
J9022_1.sm;108;yes;0,50
J9022_2.sm;85;yes;0,55
J9022_3.sm;83;yes;1,22
J9022_4.sm;96;yes;0,43
J9022_5.sm;96;yes;0,28
J9022_6.sm;71;yes;0,53
J9022_7.sm;90;yes;0,27
J9022_8.sm;97;yes;0,52
J9022_9.sm;101;yes;0,73
J902_2.sm;114;yes;0,36
J9023_10.sm;87;yes;0,21
J9023_1.sm;90;yes;0,30
J9023_2.sm;84;yes;0,02
J9023_3.sm;116;yes;0,01
J9023_4.sm;85;yes;0,44
J9023_5.sm;95;yes;0,27
J9023_6.sm;87;yes;0,32
J9023_7.sm;77;yes;0,01
J9023_8.sm;92;yes;0,01
J9023_9.sm;126;yes;0,01
J902_3.sm;75;yes;0,14
J9024_10.sm;89;yes;0,01
J9024_1.sm;84;yes;0,01
J9024_2.sm;92;yes;0,01
J9024_3.sm;69;yes;0,01
J9024_4.sm;81;yes;0,01
J9024_5.sm;85;yes;0,01
J9024_6.sm;79;yes;0,01
J9024_7.sm;87;yes;0,01
J9024_8.sm;88;yes;0,01
J9024_9.sm;80;yes;0,01
J902_4.sm;70;yes;0,09
J9025_10.sm;134;no;600
J9025_1.sm;130;no;600
J9025_2.sm;142;no;600
J9025_3.sm;133;no;600
J9025_4.sm;143;no;600
J9025_5.sm;118;no;600
J9025_6.sm;126;no;600
J9025_7.sm;142;no;600
J9025_8.sm;149;no;600
J9025_9.sm;109;no;600
J902_5.sm;100;yes;0,23
J9026_10.sm;92;yes;0,91
J9026_1.sm;90;yes;1,18
J9026_2.sm;85;yes;6,67
J9026_3.sm;80;yes;0,78
J9026_4.sm;97;yes;32,12
J9026_5.sm;85;yes;131,77
J9026_6.sm;108;yes;1,54
J9026_7.sm;82;yes;1,78
J9026_8.sm;82;yes;33,14
J9026_9.sm;87;yes;3,10
J902_6.sm;67;yes;0,11
J9027_10.sm;97;yes;0,01
J9027_1.sm;96;yes;0,01
J9027_2.sm;81;yes;0,93
J9027_3.sm;91;yes;1,55
J9027_4.sm;79;yes;0,50
J9027_5.sm;99;yes;0,83
J9027_6.sm;87;yes;0,55
J9027_7.sm;73;yes;0,71
J9027_8.sm;72;yes;0,01
J9027_9.sm;84;yes;0,49
J902_7.sm;92;yes;0,20
J9028_10.sm;68;yes;0,01
J9028_1.sm;80;yes;0,01
J9028_2.sm;76;yes;0,01
J9028_3.sm;86;yes;0,01
J9028_4.sm;78;yes;0,01
J9028_5.sm;88;yes;0,01
J9028_6.sm;102;yes;0,01
J9028_7.sm;97;yes;0,01
J9028_8.sm;110;yes;0,01
J9028_9.sm;120;yes;0,01
J902_8.sm;82;yes;0,12
J9029_10.sm;133;no;600
J9029_1.sm;144;no;600
J9029_2.sm;136;no;600
J9029_3.sm;156;no;600
J9029_4.sm;162;no;600
J9029_5.sm;130;no;600
J9029_6.sm;135;no;600
J9029_7.sm;186;no;600
J9029_8.sm;169;no;600
J9029_9.sm;139;no;600
J902_9.sm;79;yes;0,19
J9030_10.sm;90;yes;1,46
J9030_1.sm;102;yes;1,54
J9030_2.sm;76;yes;1,85
J9030_3.sm;102;yes;2,11
J9030_4.sm;104;yes;1,43
J9030_5.sm;85;no;600
J9030_6.sm;90;yes;1,53
J9030_7.sm;85;no;600
