instance;best_makespan;opt_or_unsat_certified;time
J6027_9.RCP;76;yes;0,10
J602_7.RCP;53;yes;0,05
J6028_10.RCP;74;yes;0,01
J6028_1.RCP;92;yes;0,01
J6028_2.RCP;64;yes;0,01
J6028_3.RCP;72;yes;0,01
J6028_4.RCP;84;yes;0,01
J6028_5.RCP;71;yes;0,01
J6028_6.RCP;89;yes;0,01
J6028_7.RCP;75;yes;0,01
J6028_8.RCP;62;yes;0,01
J6028_9.RCP;74;yes;0,01
J602_8.RCP;66;yes;0,08
J6029_10.RCP;125;no;600
J6029_1.RCP;108;no;600
J6029_2.RCP;136;no;600
J6029_3.RCP;128;no;600
J6029_4.RCP;141;no;600
J6029_5.RCP;116;no;600
J6029_6.RCP;162;no;600
J6029_7.RCP;127;no;600
J6029_8.RCP;104;no;600
J6029_9.RCP;114;no;600
J602_9.RCP;65;yes;0,07
J6030_10.RCP;86;yes;37,08
J6030_1.RCP;70;yes;0,46
J6030_2.RCP;70;no;600
J6030_3.RCP;82;yes;1,16
J6030_4.RCP;76;yes;0,01
J6030_5.RCP;76;yes;34,33
J6030_6.RCP;68;yes;0,65
J6030_7.RCP;86;yes;17,49
J6030_8.RCP;63;yes;0,40
J6030_9.RCP;98;yes;1,55
J603_10.RCP;69;yes;0,05
J6031_10.RCP;56;yes;0,26
J6031_1.RCP;65;yes;0,24
J6031_2.RCP;74;yes;0,17
J6031_3.RCP;66;yes;0,26
J6031_4.RCP;68;yes;0,21
J6031_5.RCP;72;yes;0,01
J6031_6.RCP;72;yes;0,52
J6031_7.RCP;76;yes;0,46
J6031_8.RCP;75;yes;0,33
J6031_9.RCP;86;yes;0,39
J603_1.RCP;60;yes;0,00
J6032_10.RCP;77;yes;0,00
J6032_1.RCP;69;yes;0,01
J6032_2.RCP;114;yes;0,01
J6032_3.RCP;85;yes;0,01
J6032_4.RCP;56;yes;0,01
J6032_5.RCP;77;yes;0,01
J6032_6.RCP;93;yes;0,01
J6032_7.RCP;76;yes;0,01
J6032_8.RCP;76;yes;0,01
J6032_9.RCP;74;yes;0,01
J603_2.RCP;69;yes;0,01
J6033_10.RCP;84;yes;0,11
J6033_1.RCP;105;yes;0,14
J6033_2.RCP;100;yes;0,09
J6033_3.RCP;79;yes;0,15
J6033_4.RCP;81;yes;0,10
J6033_5.RCP;108;yes;0,13
J6033_6.RCP;75;yes;0,11
J6033_7.RCP;78;yes;0,12
J6033_8.RCP;79;yes;0,11
J6033_9.RCP;108;yes;0,18
J603_3.RCP;105;yes;0,08
J6034_10.RCP;92;yes;0,08
J6034_1.RCP;72;yes;0,09
J6034_2.RCP;68;yes;0,05
J6034_3.RCP;61;yes;0,07
J6034_4.RCP;83;yes;0,01
J6034_5.RCP;80;yes;0,07
J6034_6.RCP;81;yes;0,10
J6034_7.RCP;85;yes;0,07
J6034_8.RCP;63;yes;0,06
J6034_9.RCP;77;yes;0,07
J603_4.RCP;81;yes;0,05
J6035_10.RCP;71;yes;0,03
J6035_1.RCP;78;yes;0,01
J6035_2.RCP;77;yes;0,03
J6035_3.RCP;89;yes;0,07
J6035_4.RCP;72;yes;0,04
J6035_5.RCP;76;yes;0,05
J6035_6.RCP;79;yes;0,01
J6035_7.RCP;73;yes;0,01
J6035_8.RCP;78;yes;0,06
J6035_9.RCP;76;yes;0,05
J603_5.RCP;83;yes;0,01
J6036_10.RCP;77;yes;0,01
J6036_1.RCP;61;yes;0,01
J6036_2.RCP;75;yes;0,01
J6036_3.RCP;81;yes;0,01
J6036_4.RCP;85;yes;0,01
J6036_5.RCP;57;yes;0,01
J6036_6.RCP;76;yes;0,01
J6036_7.RCP;71;yes;0,01
J6036_8.RCP;69;yes;0,01
J6036_9.RCP;86;yes;0,01
J603_6.RCP;57;yes;0,05
J6037_10.RCP;96;yes;0,50
J6037_1.RCP;97;yes;1,38
J6037_2.RCP;95;yes;1,78
J6037_3.RCP;139;yes;1,36
J6037_4.RCP;101;yes;0,71
J6037_5.RCP;98;yes;0,49
J6037_6.RCP;102;yes;5,31
J6037_7.RCP;110;yes;3,06
J6037_8.RCP;93;yes;0,52
J6037_9.RCP;96;yes;0,81
J603_7.RCP;59;yes;0,05
J6038_10.RCP;66;yes;0,07
J6038_1.RCP;73;yes;0,16
J6038_2.RCP;76;yes;0,38
J6038_3.RCP;77;yes;0,15
J6038_4.RCP;58;yes;0,15
J6038_5.RCP;103;yes;0,18
J6038_6.RCP;86;yes;0,21
J6038_7.RCP;74;yes;0,19
J6038_8.RCP;71;yes;0,16
J6038_9.RCP;66;yes;0,17
J603_8.RCP;55;yes;0,05
J6039_10.RCP;74;yes;0,01
J6039_1.RCP;80;yes;0,08
J6039_2.RCP;84;yes;0,01
J6039_3.RCP;83;yes;0,01
J6039_4.RCP;92;yes;0,06
J6039_5.RCP;73;yes;0,06
J6039_6.RCP;84;yes;0,08
J6039_7.RCP;68;yes;0,04
