instance;best_makespan;opt_or_unsat_certified;time
J50100_1.mm2;45;yes;0,89
J50100_2.mm2;46;yes;1,03
J50100_3.mm2;50;yes;1,48
J50100_4.mm2;45;yes;2,12
J50100_5.mm2;45;yes;1,28
J50101_1.mm2;41;yes;1,19
J50101_2.mm2;45;yes;1,34
J50101_3.mm2;39;yes;1,40
J50101_4.mm2;36;yes;1,09
J50101_5.mm2;36;yes;1,19
J5010_1.mm2;30;no;600
J50102_1.mm2;39;yes;2,71
J50102_2.mm2;43;yes;1,30
J50102_3.mm2;34;yes;1,59
J50102_4.mm2;36;yes;1,10
J50102_5.mm2;40;yes;1,30
J5010_2.mm2;39;no;600
J50103_1.mm2;67;yes;34,88
J50103_2.mm2;88;yes;29,98
J50103_3.mm2;66;yes;17,54
J50103_4.mm2;59;yes;12,52
J50103_5.mm2;61;yes;21,01
J5010_3.mm2;30;no;600
J50104_1.mm2;51;yes;3,15
J50104_2.mm2;55;yes;2,75
J50104_3.mm2;57;yes;2,37
J50104_4.mm2;53;yes;8,38
J50104_5.mm2;55;yes;1,69
J5010_4.mm2;32;no;600
J50105_1.mm2;42;yes;1,34
J50105_2.mm2;43;yes;2,84
J50105_3.mm2;40;yes;1,73
J50105_4.mm2;40;yes;3,53
J50105_5.mm2;38;yes;1,95
J5010_5.mm2;40;no;600
J50106_1.mm2;46;yes;2,12
J50106_2.mm2;53;yes;2,04
J50106_3.mm2;46;yes;5,01
J50106_4.mm2;46;yes;2,90
J50106_5.mm2;46;yes;4,45
J50107_1.mm2;53;yes;1,74
J50107_2.mm2;38;yes;2,42
J50107_3.mm2;38;yes;2,12
J50107_4.mm2;50;yes;1,86
J50107_5.mm2;40;yes;1,80
J50108_1.mm2;45;yes;2,00
J50108_2.mm2;46;yes;2,17
J50108_3.mm2;50;yes;1,96
J50108_4.mm2;38;yes;3,20
J50108_5.mm2;40;yes;2,05
J5011_1.mm2;27;no;600
J5011_2.mm2;29;no;600
J5011_3.mm2;29;no;600
J5011_4.mm2;25;no;600
J5011_5.mm2;30;no;600
J501_1.mm2;31;yes;14,99
J5012_1.mm2;28;no;600
J5012_2.mm2;33;no;600
J5012_3.mm2;25;no;600
J5012_4.mm2;28;no;600
J5012_5.mm2;28;no;600
J501_2.mm2;25;yes;6,42
J5013_1.mm2;25;yes;7,03
J5013_2.mm2;29;yes;3,19
J5013_3.mm2;28;yes;4,20
J5013_4.mm2;24;yes;18,23
J5013_5.mm2;24;yes;1,25
J501_3.mm2;25;yes;12,65
J5014_1.mm2;23;yes;1,09
J5014_2.mm2;21;yes;0,57
J5014_3.mm2;22;yes;0,94
J5014_4.mm2;20;yes;1,28
J5014_5.mm2;19;yes;0,48
J501_4.mm2;29;yes;4,23
J5015_1.mm2;19;yes;0,70
J5015_2.mm2;25;yes;0,49
J5015_3.mm2;17;yes;0,74
J5015_4.mm2;23;yes;0,68
J5015_5.mm2;18;yes;0,83
J501_5.mm2;26;yes;5,64
J5016_1.mm2;17;yes;0,88
J5016_2.mm2;16;yes;1,17
J5016_3.mm2;18;yes;1,07
J5016_4.mm2;19;yes;0,79
J5016_5.mm2;26;yes;0,96
J5017_1.mm2;17;yes;0,68
J5017_2.mm2;20;yes;0,79
J5017_3.mm2;16;yes;0,62
J5017_4.mm2;15;yes;0,79
J5017_5.mm2;18;yes;0,74
J5018_1.mm2;24;yes;0,66
J5018_2.mm2;20;yes;0,56
J5018_3.mm2;16;yes;0,68
J5018_4.mm2;19;yes;0,37
J5018_5.mm2;17;yes;1,04
J5019_1.mm2;29;yes;12,58
J5019_2.mm2;27;yes;18,90
J5019_3.mm2;31;yes;10,83
J5019_4.mm2;25;yes;24,43
J5019_5.mm2;28;yes;24,81
J5020_1.mm2;30;yes;2,04
J5020_2.mm2;27;no;600
J5020_3.mm2;23;yes;1,39
J5020_4.mm2;26;no;600
J5020_5.mm2;26;no;600
J5021_1.mm2;18;no;600
J5021_2.mm2;21;yes;0,89
J5021_3.mm2;21;yes;1,17
J5021_4.mm2;18;yes;1,68
J5021_5.mm2;18;no;600
J502_1.mm2;24;yes;1,34
J5022_1.mm2;21;no;600
J5022_2.mm2;20;yes;8,34
J5022_3.mm2;18;yes;1,70
J5022_4.mm2;21;yes;1,46
J5022_5.mm2;24;no;600
J502_2.mm2;25;yes;12,63
J5023_1.mm2;17;yes;15,28
J5023_2.mm2;19;yes;1,40
J5023_3.mm2;20;yes;1,22
J5023_4.mm2;16;yes;257,27
J5023_5.mm2;22;yes;1,54
J502_3.mm2;22;yes;3,06
J5024_1.mm2;17;no;600
J5024_2.mm2;18;yes;1,08
J5024_3.mm2;23;yes;1,32
J5024_4.mm2;18;yes;1,82
J5024_5.mm2;18;yes;1,44
J502_4.mm2;24;yes;5,82
J5025_1.mm2;24;yes;1,35
J5025_2.mm2;27;yes;106,90
J5025_3.mm2;26;yes;9,73
J5025_4.mm2;29;yes;87,77
J5025_5.mm2;27;yes;1,96
J502_5.mm2;23;yes;3,57
J5026_1.mm2;20;yes;0,56
J5026_2.mm2;21;yes;0,75
J5026_3.mm2;22;yes;0,64
J5026_4.mm2;21;yes;0,82
J5026_5.mm2;19;yes;0,74
J5027_1.mm2;20;yes;1,14
J5027_2.mm2;18;yes;0,99
J5027_3.mm2;17;yes;0,78
J5027_4.mm2;17;yes;0,47
J5027_5.mm2;18;yes;0,78
J5028_1.mm2;25;yes;0,56
J5028_2.mm2;18;yes;0,66
J5028_3.mm2;21;yes;0,92
J5028_4.mm2;23;yes;0,76
J5028_5.mm2;19;yes;0,71
J5029_1.mm2;18;yes;0,73
J5029_2.mm2;19;yes;1,07
J5029_3.mm2;17;yes;0,75
J5029_4.mm2;20;yes;0,70
J5029_5.mm2;16;yes;0,84
J5030_1.mm2;17;yes;0,91
J5030_2.mm2;20;yes;0,67
J5030_3.mm2;20;yes;0,80
J5030_4.mm2;17;yes;0,79
J5030_5.mm2;17;yes;0,50
J5031_1.mm2;26;yes;4,56
J5031_2.mm2;29;yes;27,25
J5031_3.mm2;27;yes;20,78
J5031_4.mm2;25;yes;23,33
J5031_5.mm2;25;yes;2,88
J503_1.mm2;19;yes;0,95
J5032_1.mm2;23;yes;1,30
J5032_2.mm2;22;yes;0,95
J5032_3.mm2;23;yes;1,06
J5032_4.mm2;23;yes;1,19
J5032_5.mm2;20;yes;1,05
J503_2.mm2;20;yes;0,64
J5033_1.mm2;20;yes;1,05
J5033_2.mm2;23;yes;1,17
J5033_3.mm2;21;yes;1,48
J5033_4.mm2;20;yes;1,13
J5033_5.mm2;20;yes;0,91
J503_3.mm2;18;yes;0,90
J5034_1.mm2;18;yes;1,06
J5034_2.mm2;24;yes;1,40
J5034_3.mm2;25;yes;0,78
J5034_4.mm2;19;yes;1,77
J5034_5.mm2;21;yes;0,99
J503_4.mm2;23;yes;1,16
J5035_1.mm2;16;yes;1,49
J5035_2.mm2;21;yes;1,11
J5035_3.mm2;20;yes;0,59
J5035_4.mm2;22;yes;1,41
J5035_5.mm2;22;yes;1,29
J503_5.mm2;18;yes;3,81
J5036_1.mm2;20;yes;1,09
J5036_2.mm2;19;yes;1,11
J5036_3.mm2;18;yes;1,43
J5036_4.mm2;23;yes;0,97
J5036_5.mm2;21;yes;1,33
J5037_1.mm2;42;yes;5,23
J5037_2.mm2;42;yes;6,07
J5037_3.mm2;41;yes;34,13
J5037_4.mm2;40;yes;14,79
J5037_5.mm2;42;yes;14,05
J5038_1.mm2;35;yes;1,18
J5038_2.mm2;30;yes;1,41
J5038_3.mm2;34;yes;1,70
J5038_4.mm2;37;yes;4,29
J5038_5.mm2;38;yes;1,57
J5039_1.mm2;30;yes;1,77
J5039_2.mm2;29;yes;0,99
J5039_3.mm2;27;yes;1,40
J5039_4.mm2;29;yes;0,94
J5039_5.mm2;25;yes;0,94
J5040_1.mm2;26;yes;1,03
J5040_2.mm2;30;yes;1,68
J5040_3.mm2;27;yes;2,95
J5040_4.mm2;28;yes;1,04
J5040_5.mm2;30;yes;1,17
J5041_1.mm2;27;yes;0,60
J5041_2.mm2;28;yes;0,91
J5041_3.mm2;27;yes;0,82
J5041_4.mm2;28;yes;0,93
J5041_5.mm2;33;yes;0,93
J504_1.mm2;19;yes;2,82
J5042_1.mm2;33;yes;0,95
J5042_2.mm2;25;yes;1,45
J5042_3.mm2;26;yes;1,64
J5042_4.mm2;24;yes;0,97
J5042_5.mm2;30;yes;0,98
J504_2.mm2;18;yes;1,46
J5043_1.mm2;71;no;600
J5043_2.mm2;69;no;600
J5043_3.mm2;76;no;600
J5043_4.mm2;55;no;600
J5043_5.mm2;71;no;600
J504_3.mm2;21;yes;1,39
J5044_1.mm2;54;no;600
J5044_2.mm2;48;no;600
J5044_3.mm2;59;no;600
J5044_4.mm2;57;no;600
J5044_5.mm2;52;no;600
J504_4.mm2;19;yes;15,76
J5045_1.mm2;51;no;600
J5045_2.mm2;38;no;600
J5045_3.mm2;41;no;600
J5045_4.mm2;37;no;600
J5045_5.mm2;51;no;600
J504_5.mm2;22;no;600
