instance;best_makespan;opt_or_unsat_certified;time
j3010_10.mm;32;yes;0,78
j3010_1.mm;26;yes;0,60
j3010_2.mm;28;yes;0,88
j3010_3.mm;24;yes;0,65
j3010_4.mm;36;yes;0,47
j3010_5.mm;33;yes;0,62
j3010_6.mm;25;yes;0,59
j3010_7.mm;22;yes;0,75
j3010_8.mm;31;yes;0,41
j3010_9.mm;38;yes;0,44
j301_10.mm;unsat;yes;0,17
j3011_10.mm;35;yes;0,80
j3011_1.mm;35;yes;0,55
j3011_2.mm;28;yes;0,41
j3011_3.mm;31;yes;0,54
j3011_4.mm;35;yes;0,30
j3011_5.mm;35;yes;0,37
j3011_6.mm;33;yes;0,39
j3011_7.mm;32;yes;0,57
j3011_8.mm;30;yes;0,46
j3011_9.mm;26;yes;0,56
j301_1.mm;unsat;yes;0,04
j3012_10.mm;28;yes;0,46
j3012_1.mm;29;yes;0,39
j3012_2.mm;31;yes;0,31
j3012_3.mm;34;yes;0,42
j3012_4.mm;29;yes;0,35
j3012_5.mm;25;yes;0,48
j3012_6.mm;34;yes;0,48
j3012_7.mm;27;yes;0,58
j3012_8.mm;28;yes;0,64
j3012_9.mm;22;yes;0,47
j301_2.mm;unsat;yes;0,03
j3013_10.mm;42;yes;332,55
j3013_1.mm;37;yes;0,95
j3013_2.mm;40;yes;31,85
j3013_3.mm;41;yes;91,64
j3013_4.mm;41;yes;125,79
j3013_5.mm;38;yes;45,52
j3013_6.mm;38;yes;6,09
j3013_7.mm;41;yes;52,16
j3013_8.mm;28;yes;1,32
j3013_9.mm;30;yes;64,37
j301_3.mm;unsat;yes;0,04
j3014_10.mm;29;yes;1,04
j3014_1.mm;37;yes;0,69
j3014_2.mm;32;yes;0,67
j3014_3.mm;30;yes;0,89
j3014_4.mm;34;yes;0,96
j3014_5.mm;26;yes;1,15
j3014_6.mm;29;yes;0,44
j3014_7.mm;34;yes;0,73
j3014_8.mm;41;yes;0,56
j3014_9.mm;31;yes;0,68
j301_4.mm;unsat;yes;0,04
j3015_10.mm;38;yes;0,54
j3015_1.mm;40;yes;0,60
j3015_2.mm;34;yes;0,67
j3015_3.mm;33;yes;0,91
j3015_4.mm;30;yes;0,51
j3015_5.mm;24;yes;0,92
j3015_6.mm;22;yes;0,38
j3015_7.mm;27;yes;0,70
j3015_8.mm;23;yes;0,93
j3015_9.mm;28;yes;1,11
j301_5.mm;unsat;yes;0,05
j3016_10.mm;32;yes;0,36
j3016_1.mm;27;yes;0,42
j3016_2.mm;41;yes;0,41
j3016_3.mm;23;yes;0,46
j3016_4.mm;19;yes;0,60
j3016_5.mm;30;yes;0,78
j3016_6.mm;30;yes;0,68
j3016_7.mm;22;yes;0,42
j3016_8.mm;25;yes;1,10
j3016_9.mm;24;yes;0,75
j301_6.mm;unsat;yes;0,02
j3017_10.mm;26;yes;0,43
j3017_1.mm;34;yes;0,52
j3017_2.mm;26;yes;0,61
j3017_3.mm;33;yes;0,57
j3017_4.mm;39;yes;0,33
j3017_5.mm;29;yes;0,41
j3017_6.mm;33;yes;0,61
j3017_7.mm;32;yes;0,59
j3017_8.mm;31;yes;0,43
j3017_9.mm;34;yes;0,57
j301_7.mm;unsat;yes;0,03
j3018_10.mm;33;yes;0,34
j3018_1.mm;28;yes;0,26
j3018_2.mm;33;yes;0,26
j3018_3.mm;35;yes;0,48
j3018_4.mm;31;yes;0,40
j3018_5.mm;21;yes;0,46
j3018_6.mm;25;yes;0,39
j3018_7.mm;35;yes;0,31
j3018_8.mm;18;yes;0,47
j3018_9.mm;25;yes;0,52
j301_8.mm;unsat;yes;0,02
j3019_10.mm;29;yes;0,50
j3019_1.mm;35;yes;0,32
j3019_2.mm;21;yes;0,34
j3019_3.mm;31;yes;0,39
j3019_4.mm;30;yes;0,30
j3019_5.mm;27;yes;0,52
j3019_6.mm;24;yes;0,34
j3019_7.mm;36;yes;0,27
j3019_8.mm;34;yes;0,39
j3019_9.mm;25;yes;0,37
j301_9.mm;unsat;yes;0,01
j3020_10.mm;28;yes;0,51
j3020_1.mm;30;yes;0,46
