instance;best_makespan;opt_or_unsat_certified;time
J5033_5.mm2;20;yes;2,43
J503_3.mm2;18;yes;65,09
J5034_1.mm2;18;yes;2,49
J5034_2.mm2;24;yes;3,05
J5034_3.mm2;25;yes;1,72
J5034_4.mm2;19;yes;5,75
J5034_5.mm2;21;yes;2,31
J503_4.mm2;23;yes;13,19
J5035_1.mm2;16;yes;3,72
J5035_2.mm2;21;yes;2,88
J5035_3.mm2;20;yes;1,20
J5035_4.mm2;22;yes;1,73
J5035_5.mm2;22;yes;2,03
J503_5.mm2;18;yes;441,98
J5036_1.mm2;20;yes;2,54
J5036_2.mm2;19;yes;2,72
J5036_3.mm2;18;yes;2,96
J5036_4.mm2;23;yes;2,36
J5036_5.mm2;21;yes;3,80
J5037_1.mm2;45;no;600
J5037_2.mm2;50;no;600
J5037_3.mm2;49;no;600
J5037_4.mm2;48;no;600
J5037_5.mm2;50;no;600
J5038_1.mm2;35;yes;20,96
J5038_2.mm2;30;yes;31,74
J5038_3.mm2;34;yes;62,50
J5038_4.mm2;37;yes;316,57
J5038_5.mm2;38;yes;20,30
J5039_1.mm2;30;yes;29,55
J5039_2.mm2;29;yes;17,87
J5039_3.mm2;27;yes;28,50
J5039_4.mm2;29;yes;10,85
J5039_5.mm2;25;yes;15,01
J5040_1.mm2;26;yes;52,49
J5040_2.mm2;30;yes;87,41
J5040_3.mm2;27;yes;155,74
J5040_4.mm2;28;yes;118,99
J5040_5.mm2;30;yes;8,64
J5041_1.mm2;27;yes;2,45
J5041_2.mm2;28;yes;2,48
J5041_3.mm2;27;yes;3,84
J5041_4.mm2;28;yes;2,76
J5041_5.mm2;33;yes;3,48
J504_1.mm2;20;no;600
J5042_1.mm2;33;yes;4,74
J5042_2.mm2;25;yes;9,92
J5042_3.mm2;26;yes;77,18
J5042_4.mm2;24;yes;9,72
J5042_5.mm2;30;yes;7,43
J504_2.mm2;18;yes;226,66
J5043_1.mm2;79;no;600
J5043_2.mm2;75;no;600
J5043_3.mm2;85;no;600
J5043_4.mm2;62;no;600
J5043_5.mm2;76;no;600
J504_3.mm2;21;yes;52,28
J5044_1.mm2;56;no;600
J5044_2.mm2;51;no;600
J5044_3.mm2;60;no;600
J5044_4.mm2;61;no;600
J5044_5.mm2;53;no;600
J504_4.mm2;19;no;600
J5045_1.mm2;51;no;600
J5045_2.mm2;40;no;600
J5045_3.mm2;42;no;600
J5045_4.mm2;38;no;600
J5045_5.mm2;49;no;600
J504_5.mm2;24;no;600
J5046_1.mm2;54;no;600
J5046_2.mm2;50;no;600
J5046_3.mm2;53;no;600
J5046_4.mm2;36;no;600
J5046_5.mm2;46;no;600
J5047_1.mm2;36;no;600
J5047_2.mm2;41;no;600
J5047_3.mm2;44;no;600
J5047_4.mm2;42;no;600
J5047_5.mm2;40;no;600
J5048_1.mm2;37;no;600
J5048_2.mm2;43;no;600
J5048_3.mm2;31;no;600
J5048_4.mm2;36;no;600
J5048_5.mm2;47;no;600
J5049_1.mm2;45;no;600
J5049_2.mm2;52;no;600
J5049_3.mm2;39;no;600
J5049_4.mm2;39;no;600
J5049_5.mm2;35;no;600
J5050_1.mm2;37;yes;5,97
J5050_2.mm2;31;yes;2,91
J5050_3.mm2;36;yes;2,08
J5050_4.mm2;37;yes;13,74
J5050_5.mm2;33;yes;18,34
J5051_1.mm2;21;yes;3,35
J5051_2.mm2;26;yes;20,55
J5051_3.mm2;25;yes;3,21
J5051_4.mm2;31;yes;2,16
J5051_5.mm2;25;yes;3,13
J505_1.mm2;20;yes;5,98
J5052_1.mm2;25;yes;6,69
J5052_2.mm2;25;yes;7,49
J5052_3.mm2;29;yes;3,67
J5052_4.mm2;33;yes;2,40
J5052_5.mm2;26;yes;2,38
J505_2.mm2;18;yes;2,72
J5053_1.mm2;28;yes;0,75
J5053_2.mm2;25;yes;0,75
J5053_3.mm2;32;yes;1,09
J5053_4.mm2;18;yes;1,98
J5053_5.mm2;32;yes;2,05
J505_3.mm2;20;yes;4,67
J5054_1.mm2;25;yes;3,31
J5054_2.mm2;27;yes;2,65
J5054_3.mm2;26;yes;1,80
J5054_4.mm2;21;yes;2,83
J5054_5.mm2;23;yes;2,14
J505_4.mm2;18;yes;38,31
J5055_1.mm2;43;no;600
J5055_2.mm2;45;no;600
J5055_3.mm2;42;no;600
J5055_4.mm2;46;no;600
J5055_5.mm2;43;no;600
J505_5.mm2;17;yes;9,30
J5056_1.mm2;39;no;600
J5056_2.mm2;29;yes;4,77
J5056_3.mm2;34;yes;384,40
J5056_4.mm2;37;no;600
J5056_5.mm2;41;no;600
J5057_1.mm2;26;no;600
J5057_2.mm2;28;yes;93,32
J5057_3.mm2;31;no;600
J5057_4.mm2;28;yes;7,97
J5057_5.mm2;27;yes;6,85
J5058_1.mm2;36;no;600
J5058_2.mm2;33;yes;4,80
J5058_3.mm2;33;yes;27,66
J5058_4.mm2;31;no;600
J5058_5.mm2;30;no;600
J5059_1.mm2;29;yes;4,52
J5059_2.mm2;22;yes;12,29
J5059_3.mm2;24;yes;317,36
J5059_4.mm2;31;yes;44,32
J5059_5.mm2;33;yes;2,38
J5060_1.mm2;34;yes;14,91
J5060_2.mm2;27;yes;12,65
J5060_3.mm2;32;yes;27,93
J5060_4.mm2;23;yes;19,57
J5060_5.mm2;24;yes;53,02
J5061_1.mm2;37;no;600
J5061_2.mm2;61;no;600
J5061_3.mm2;54;no;600
J5061_4.mm2;51;no;600
J5061_5.mm2;39;no;600
J506_1.mm2;20;yes;2,55
J5062_1.mm2;34;yes;2,27
J5062_2.mm2;32;yes;1,78
J5062_3.mm2;32;yes;2,27
J5062_4.mm2;28;yes;7,12
J5062_5.mm2;31;yes;2,16
J506_2.mm2;21;yes;16,18
J5063_1.mm2;28;yes;1,62
J5063_2.mm2;32;yes;1,61
J5063_3.mm2;27;yes;2,32
J5063_4.mm2;21;yes;3,03
J5063_5.mm2;32;yes;2,33
J506_3.mm2;20;yes;31,55
J5064_1.mm2;29;yes;1,52
J5064_2.mm2;28;yes;2,28
J5064_3.mm2;32;yes;1,54
J5064_4.mm2;26;yes;2,66
J5064_5.mm2;22;yes;3,30
J506_4.mm2;25;yes;6,18
J5065_1.mm2;27;yes;0,69
J5065_2.mm2;22;yes;0,99
J5065_3.mm2;28;yes;0,69
J5065_4.mm2;29;yes;0,90
J5065_5.mm2;29;yes;0,74
J506_5.mm2;24;yes;56,27
J5066_1.mm2;24;yes;1,80
J5066_2.mm2;23;yes;1,89
J5066_3.mm2;29;yes;2,05
J5066_4.mm2;25;yes;1,73
J5066_5.mm2;37;yes;2,07
J5067_1.mm2;38;no;600
J5067_2.mm2;42;no;600
J5067_3.mm2;50;no;600
J5067_4.mm2;40;no;600
J5067_5.mm2;50;no;600
J5068_1.mm2;28;yes;3,51
J5068_2.mm2;32;yes;8,00
J5068_3.mm2;30;yes;6,45
J5068_4.mm2;32;yes;4,41
J5068_5.mm2;30;yes;14,61
J5069_1.mm2;20;yes;12,88
J5069_2.mm2;28;yes;2,81
J5069_3.mm2;21;yes;4,03
J5069_4.mm2;29;yes;2,63
J5069_5.mm2;24;yes;3,38
J5070_1.mm2;24;yes;2,97
J5070_2.mm2;30;yes;23,57
J5070_3.mm2;23;yes;6,36
J5070_4.mm2;27;yes;2,75
J5070_5.mm2;26;yes;6,72
J5071_1.mm2;27;yes;2,09
J5071_2.mm2;24;yes;2,40
J5071_3.mm2;24;yes;2,37
J5071_4.mm2;36;yes;1,78
J5071_5.mm2;27;yes;3,05
J507_1.mm2;51;no;600
J5072_1.mm2;21;yes;5,43
J5072_2.mm2;30;yes;2,41
J5072_3.mm2;23;yes;3,27
J5072_4.mm2;26;yes;2,62
J5072_5.mm2;28;yes;1,86
J507_2.mm2;48;no;600
J5073_1.mm2;70;no;600
J5073_2.mm2;95;no;600
J5073_3.mm2;77;no;600
J5073_4.mm2;86;no;600
J5073_5.mm2;83;no;600
J507_3.mm2;50;no;600
J5074_1.mm2;58;no;600
J5074_2.mm2;52;no;600
J5074_3.mm2;65;no;600
J5074_4.mm2;54;yes;36,28
J5074_5.mm2;59;no;600
J507_4.mm2;54;no;600
J5075_1.mm2;51;yes;7,69
J5075_2.mm2;40;yes;12,10
J5075_3.mm2;45;yes;14,49
J5075_4.mm2;51;yes;6,41
J5075_5.mm2;44;yes;7,64
J507_5.mm2;48;no;600
J5076_1.mm2;44;yes;370,69
J5076_2.mm2;40;yes;411,20
J5076_3.mm2;43;yes;158,10
J5076_4.mm2;39;yes;8,30
J5076_5.mm2;49;yes;9,41
J5077_1.mm2;44;yes;1,75
J5077_2.mm2;48;yes;1,81
J5077_3.mm2;47;yes;2,22
J5077_4.mm2;47;yes;1,80
J5077_5.mm2;39;yes;1,42
J5078_1.mm2;49;yes;3,98
J5078_2.mm2;53;yes;2,10
J5078_3.mm2;38;yes;8,14
J5078_4.mm2;48;yes;4,32
J5078_5.mm2;42;yes;3,66
J5079_1.mm2;86;no;600
J5079_2.mm2;95;no;600
J5079_3.mm2;87;no;600
J5079_4.mm2;79;no;600
J5079_5.mm2;92;no;600
J5080_1.mm2;82;no;600
J5080_2.mm2;78;no;600
J5080_3.mm2;101;no;600
J5080_4.mm2;85;no;600
J5080_5.mm2;76;no;600
J5081_1.mm2;65;no;600
J5081_2.mm2;59;yes;149,75
J5081_3.mm2;61;no;600
J5081_4.mm2;66;no;600
J5081_5.mm2;57;no;600
J508_1.mm2;46;no;600
J5082_1.mm2;64;no;600
J5082_2.mm2;69;no;600
J5082_3.mm2;57;no;600
J5082_4.mm2;71;no;600
J5082_5.mm2;58;no;600
