instance;best_makespan;opt_or_unsat_certified;time
J50100_1.mm2;45;yes;2,92
J50100_2.mm2;46;yes;1,81
J50100_3.mm2;50;yes;2,48
J50100_4.mm2;45;yes;3,3
J50100_5.mm2;45;yes;2,06
J50101_1.mm2;41;yes;1,46
J50101_2.mm2;45;yes;1,57
J50101_3.mm2;39;yes;1,8
J50101_4.mm2;36;yes;1,39
J50101_5.mm2;36;yes;1,84
J5010_1.mm2;32;no;600
J50102_1.mm2;39;yes;3,85
J50102_2.mm2;43;yes;1,66
J50102_3.mm2;34;yes;2,32
J50102_4.mm2;36;yes;1,48
J50102_5.mm2;40;yes;1,52
J5010_2.mm2;42;no;600
J50103_1.mm2;77;no;600
J50103_2.mm2;109;no;600
J50103_3.mm2;68;no;600
J50103_4.mm2;60;no;600
J50103_5.mm2;87;no;600
J5010_3.mm2;31;no;600
J50104_1.mm2;51;yes;24,31
J50104_2.mm2;55;yes;12,5
J50104_3.mm2;57;yes;4,89
J50104_4.mm2;53;yes;119,15
J50104_5.mm2;55;yes;4,71
J5010_4.mm2;32;no;600
J50105_1.mm2;42;yes;2,22
J50105_2.mm2;43;yes;4,45
J50105_3.mm2;40;yes;3,71
J50105_4.mm2;40;yes;5,88
J50105_5.mm2;38;yes;4,07
J5010_5.mm2;42;no;600
J50106_1.mm2;46;yes;3,6
J50106_2.mm2;53;yes;4,57
J50106_3.mm2;46;yes;75,01
J50106_4.mm2;46;yes;8,37
J50106_5.mm2;46;yes;34,45
J50107_1.mm2;53;yes;3,61
J50107_2.mm2;38;yes;4,02
J50107_3.mm2;38;yes;3,51
J50107_4.mm2;50;yes;3,34
J50107_5.mm2;40;yes;3,3
J50108_1.mm2;45;yes;4,7
J50108_2.mm2;46;yes;4,2
J50108_3.mm2;50;yes;3,75
J50108_4.mm2;38;yes;6,75
J50108_5.mm2;40;yes;3,52
J5011_1.mm2;28;no;600
J5011_2.mm2;32;no;600
J5011_3.mm2;32;no;600
J5011_4.mm2;27;no;600
J5011_5.mm2;31;no;600
J501_1.mm2;;no;600
J5012_1.mm2;28;no;600
J5012_2.mm2;33;no;600
J5012_3.mm2;25;no;600
J5012_4.mm2;27;no;600
J5012_5.mm2;28;no;600
J501_2.mm2;26;no;600
J5013_1.mm2;33;no;600
J5013_2.mm2;29;no;600
J5013_3.mm2;29;no;600
J5013_4.mm2;37;no;600
J5013_5.mm2;25;no;600
J501_3.mm2;26;no;600
J5014_1.mm2;23;yes;0,82
J5014_2.mm2;21;yes;1,05
J5014_3.mm2;22;yes;0,78
J5014_4.mm2;20;yes;0,71
J5014_5.mm2;19;yes;0,69
J501_4.mm2;30;no;600
J5015_1.mm2;19;yes;0,38
J5015_2.mm2;25;yes;0,31
J5015_3.mm2;17;yes;0,48
J5015_4.mm2;23;yes;0,36
J5015_5.mm2;18;yes;0,48
J501_5.mm2;32;no;600
J5016_1.mm2;17;yes;0,43
J5016_2.mm2;16;yes;13,33
J5016_3.mm2;18;yes;0,6
J5016_4.mm2;19;yes;0,76
J5016_5.mm2;26;yes;0,69
J5017_1.mm2;17;yes;0,33
J5017_2.mm2;20;yes;0,44
J5017_3.mm2;16;yes;0,39
J5017_4.mm2;15;yes;0,48
J5017_5.mm2;18;yes;0,37
J5018_1.mm2;24;yes;0,34
J5018_2.mm2;20;yes;0,36
J5018_3.mm2;16;yes;0,4
J5018_4.mm2;19;yes;0,22
J5018_5.mm2;17;yes;0,51
J5019_1.mm2;37;no;600
J5019_2.mm2;28;no;600
J5019_3.mm2;32;no;600
J5019_4.mm2;35;no;600
J5019_5.mm2;34;no;600
J5020_1.mm2;30;yes;20,58
J5020_2.mm2;27;no;600
J5020_3.mm2;23;yes;1,74
J5020_4.mm2;27;no;600
J5020_5.mm2;27;no;600
J5021_1.mm2;18;no;600
J5021_2.mm2;21;yes;0,77
J5021_3.mm2;21;yes;0,71
J5021_4.mm2;18;yes;2,61
J5021_5.mm2;19;no;600
J502_1.mm2;24;yes;4,6
J5022_1.mm2;21;no;600
J5022_2.mm2;20;yes;382,09
J5022_3.mm2;18;yes;2,07
J5022_4.mm2;21;yes;6,87
J5022_5.mm2;24;no;600
J502_2.mm2;25;yes;333,35
J5023_1.mm2;17;yes;74,17
J5023_2.mm2;19;yes;1,11
J5023_3.mm2;20;yes;0,74
J5023_4.mm2;16;no;600
J5023_5.mm2;22;yes;0,86
J502_3.mm2;22;yes;104,1
J5024_1.mm2;17;no;600
J5024_2.mm2;18;yes;1,03
J5024_3.mm2;23;yes;0,81
J5024_4.mm2;18;yes;2,45
J5024_5.mm2;18;yes;0,83
J502_4.mm2;24;yes;53,93
J5025_1.mm2;24;no;600
J5025_2.mm2;31;no;600
J5025_3.mm2;30;no;600
J5025_4.mm2;;no;600
J5025_5.mm2;28;no;600
J502_5.mm2;23;yes;130,38
J5026_1.mm2;20;yes;0,48
J5026_2.mm2;21;yes;0,38
J5026_3.mm2;22;yes;0,32
J5026_4.mm2;21;yes;0,37
J5026_5.mm2;19;yes;0,35
J5027_1.mm2;20;yes;0,48
J5027_2.mm2;18;yes;0,49
J5027_3.mm2;17;yes;0,41
J5027_4.mm2;17;yes;0,23
J5027_5.mm2;18;yes;0,38
J5028_1.mm2;25;yes;0,29
J5028_2.mm2;18;yes;0,32
J5028_3.mm2;21;yes;0,41
J5028_4.mm2;23;yes;0,36
J5028_5.mm2;19;yes;0,34
J5029_1.mm2;18;yes;0,34
J5029_2.mm2;19;yes;0,43
J5029_3.mm2;17;yes;0,32
J5029_4.mm2;20;yes;0,32
J5029_5.mm2;16;yes;0,38
J5030_1.mm2;17;yes;0,45
J5030_2.mm2;20;yes;0,31
J5030_3.mm2;20;yes;0,38
J5030_4.mm2;17;yes;0,37
J5030_5.mm2;17;yes;0,25
J5031_1.mm2;27;no;600
J5031_2.mm2;36;no;600
J5031_3.mm2;28;no;600
J5031_4.mm2;29;no;600
J5031_5.mm2;26;no;600
J503_1.mm2;19;yes;3,44
J5032_1.mm2;23;yes;2,76
J5032_2.mm2;22;yes;0,71
J5032_3.mm2;23;yes;1,39
J5032_4.mm2;23;yes;1,18
J5032_5.mm2;20;yes;1,3
J503_2.mm2;20;yes;0,99
J5033_1.mm2;20;yes;0,7
J5033_2.mm2;23;yes;0,62
J5033_3.mm2;21;yes;0,79
J5033_4.mm2;20;yes;0,65
J5033_5.mm2;20;yes;0,57
J503_3.mm2;18;yes;2,21
J5034_1.mm2;18;yes;0,69
J5034_2.mm2;24;yes;0,86
J5034_3.mm2;25;yes;0,34
J5034_4.mm2;19;yes;1,19
J5034_5.mm2;21;yes;0,63
J503_4.mm2;23;yes;1,39
J5035_1.mm2;16;yes;0,85
J5035_2.mm2;21;yes;0,66
J5035_3.mm2;20;yes;0,29
J5035_4.mm2;22;yes;0,94
J5035_5.mm2;22;yes;0,63
J503_5.mm2;18;yes;14,54
J5036_1.mm2;20;yes;0,82
J5036_2.mm2;19;yes;0,65
J5036_3.mm2;18;yes;0,84
J5036_4.mm2;23;yes;0,56
J5036_5.mm2;21;yes;0,95
J5037_1.mm2;44;no;600
J5037_2.mm2;51;no;600
J5037_3.mm2;46;no;600
J5037_4.mm2;43;no;600
J5037_5.mm2;44;no;600
J5038_1.mm2;35;yes;5,71
J5038_2.mm2;30;yes;19,12
J5038_3.mm2;34;yes;20,88
J5038_4.mm2;37;yes;95,86
J5038_5.mm2;38;yes;4,67
J5039_1.mm2;30;yes;5,1
J5039_2.mm2;29;yes;3,05
J5039_3.mm2;27;yes;2,56
J5039_4.mm2;29;yes;1,83
J5039_5.mm2;25;yes;1,46
J5040_1.mm2;26;yes;16,46
J5040_2.mm2;30;yes;14
J5040_3.mm2;27;yes;34,95
J5040_4.mm2;28;yes;19,6
J5040_5.mm2;30;yes;2,02
J5041_1.mm2;27;yes;0,78
J5041_2.mm2;28;yes;1,28
J5041_3.mm2;27;yes;0,99
J5041_4.mm2;28;yes;1,15
J5041_5.mm2;33;yes;1,41
J504_1.mm2;19;yes;38,3
J5042_1.mm2;33;yes;1,84
J5042_2.mm2;25;yes;2,12
J5042_3.mm2;26;yes;8,45
J5042_4.mm2;24;yes;1,74
J5042_5.mm2;30;yes;2,03
J504_2.mm2;18;yes;23,71
J5043_1.mm2;73;no;600
J5043_2.mm2;73;no;600
J5043_3.mm2;85;no;600
J5043_4.mm2;58;no;600
J5043_5.mm2;74;no;600
J504_3.mm2;21;yes;2,51
J5044_1.mm2;56;no;600
J5044_2.mm2;49;no;600
J5044_3.mm2;62;no;600
J5044_4.mm2;59;no;600
J5044_5.mm2;51;no;600
J504_4.mm2;19;yes;131,05
J5045_1.mm2;52;no;600
J5045_2.mm2;37;no;600
J5045_3.mm2;41;no;600
J5045_4.mm2;38;no;600
J5045_5.mm2;51;no;600
J504_5.mm2;24;no;600
J5046_1.mm2;52;no;600
J5046_2.mm2;47;no;600
J5046_3.mm2;52;no;600
J5046_4.mm2;35;no;600
J5046_5.mm2;45;no;600
J5047_1.mm2;37;no;600
J5047_2.mm2;42;no;600
J5047_3.mm2;49;no;600
J5047_4.mm2;42;no;600
J5047_5.mm2;40;no;600
J5048_1.mm2;37;no;600
J5048_2.mm2;43;no;600
J5048_3.mm2;30;no;600
J5048_4.mm2;37;no;600
J5048_5.mm2;45;no;600
J5049_1.mm2;44;no;600
J5049_2.mm2;47;no;600
J5049_3.mm2;39;no;600
J5049_4.mm2;38;no;600
J5049_5.mm2;38;no;600
J5050_1.mm2;37;yes;1,67
J5050_2.mm2;31;yes;1,28
J5050_3.mm2;36;yes;0,63
J5050_4.mm2;37;yes;9,89
J5050_5.mm2;33;yes;12,83
J5051_1.mm2;21;yes;1,16
J5051_2.mm2;26;yes;6,57
J5051_3.mm2;25;yes;0,83
J5051_4.mm2;31;yes;0,65
J5051_5.mm2;25;yes;1,01
J505_1.mm2;20;yes;1,04
J5052_1.mm2;25;yes;1,48
J5052_2.mm2;25;yes;2,72
J5052_3.mm2;29;yes;1,45
J5052_4.mm2;33;yes;1,24
J5052_5.mm2;26;yes;0,96
J505_2.mm2;18;yes;0,44
J5053_1.mm2;28;yes;0,53
J5053_2.mm2;25;yes;0,49
J5053_3.mm2;32;yes;0,5
J5053_4.mm2;18;yes;0,86
J5053_5.mm2;32;yes;1
J505_3.mm2;20;yes;0,98
J5054_1.mm2;25;yes;1,04
J5054_2.mm2;27;yes;1,19
J5054_3.mm2;26;yes;0,65
J5054_4.mm2;21;yes;1,06
J5054_5.mm2;23;yes;0,94
J505_4.mm2;18;yes;3
J5055_1.mm2;42;no;600
J5055_2.mm2;43;no;600
J5055_3.mm2;42;no;600
J5055_4.mm2;45;no;600
J5055_5.mm2;43;no;600
J505_5.mm2;17;yes;1,61
J5056_1.mm2;37;no;600
J5056_2.mm2;29;yes;1,7
