instance;best_makespan;opt_or_unsat_certified;time
J100100_1.mm2;51;yes;15,66
J100100_2.mm2;58;yes;15,38
J100100_3.mm2;52;yes;27,18
J100100_4.mm2;55;yes;17,22
J100100_5.mm2;57;yes;14,77
J100101_1.mm2;55;yes;5,52
J100101_2.mm2;58;yes;6,12
J100101_3.mm2;52;yes;6,35
J100101_4.mm2;58;yes;6,17
J100101_5.mm2;64;yes;5,42
J10010_1.mm2;45;no;600
J100102_1.mm2;55;yes;12,51
J100102_2.mm2;48;yes;14,58
J100102_3.mm2;56;yes;14,62
J100102_4.mm2;52;yes;11,08
J100102_5.mm2;54;yes;14,13
J10010_2.mm2;49;no;600
J100103_1.mm2;113;no;600
J100103_2.mm2;;no;600
J100103_3.mm2;;no;600
J100103_4.mm2;;no;600
J100103_5.mm2;119;no;600
J10010_3.mm2;49;no;600
J100104_1.mm2;72;no;600
J100104_2.mm2;73;no;600
J100104_3.mm2;67;no;600
J100104_4.mm2;65;no;600
J100104_5.mm2;70;no;600
J10010_4.mm2;47;no;600
J100105_1.mm2;62;yes;55,55
J100105_2.mm2;53;yes;43,33
J100105_3.mm2;65;yes;33,67
J100105_4.mm2;58;yes;23,99
J100105_5.mm2;52;yes;38,32
J10010_5.mm2;43;no;600
J100106_1.mm2;58;yes;52,11
J100106_2.mm2;55;yes;29,68
J100106_3.mm2;55;yes;34,01
J100106_4.mm2;61;no;600
J100106_5.mm2;59;yes;40,71
J100107_1.mm2;62;yes;16,74
J100107_2.mm2;57;yes;19,97
J100107_3.mm2;52;yes;21,02
J100107_4.mm2;54;yes;17,84
J100107_5.mm2;56;yes;47,59
J100108_1.mm2;58;yes;25,62
J100108_2.mm2;53;yes;33,50
J100108_3.mm2;54;yes;35,98
J100108_4.mm2;51;yes;67,93
J100108_5.mm2;52;yes;57,71
J10011_1.mm2;46;no;600
J10011_2.mm2;56;no;600
J10011_3.mm2;42;no;600
J10011_4.mm2;50;no;600
J10011_5.mm2;40;no;600
J1001_1.mm2;;no;600
J10012_1.mm2;54;no;600
J10012_2.mm2;46;no;600
J10012_3.mm2;45;no;600
J10012_4.mm2;57;no;600
J10012_5.mm2;41;no;600
J1001_2.mm2;;no;600
J10013_1.mm2;;no;600
J10013_2.mm2;;no;600
J10013_3.mm2;46;no;600
J10013_4.mm2;44;no;600
J10013_5.mm2;;no;600
J1001_3.mm2;;no;600
J10014_1.mm2;22;yes;81,36
J10014_2.mm2;23;yes;72,22
J10014_3.mm2;21;yes;99,78
J10014_4.mm2;29;yes;60,57
J10014_5.mm2;26;yes;73,84
J1001_4.mm2;;no;600
J10015_1.mm2;23;yes;82,54
J10015_2.mm2;23;yes;59,27
J10015_3.mm2;25;yes;39,78
J10015_4.mm2;24;yes;58,69
J10015_5.mm2;26;yes;46,73
J1001_5.mm2;60;no;600
J10016_1.mm2;24;yes;44,80
J10016_2.mm2;21;yes;59,57
J10016_3.mm2;23;yes;77,83
J10016_4.mm2;28;yes;55,05
J10016_5.mm2;22;yes;79,79
J10017_1.mm2;20;yes;56,17
J10017_2.mm2;19;yes;84,05
J10017_3.mm2;22;yes;33,65
J10017_4.mm2;23;yes;52,47
J10017_5.mm2;23;yes;54,25
J10018_1.mm2;20;yes;57,99
J10018_2.mm2;22;yes;69,78
J10018_3.mm2;19;yes;100,78
J10018_4.mm2;18;yes;78,96
J10018_5.mm2;24;yes;46,92
J10019_1.mm2;;no;600
J10019_2.mm2;;no;600
J10019_3.mm2;;no;600
J10019_4.mm2;47;no;600
J10019_5.mm2;;no;600
J10020_1.mm2;24;yes;185,75
J10020_2.mm2;29;no;600
J10020_3.mm2;33;no;600
J10020_4.mm2;28;no;600
J10020_5.mm2;38;no;600
J10021_1.mm2;25;no;600
J10021_2.mm2;24;no;600
J10021_3.mm2;34;no;600
J10021_4.mm2;24;no;600
J10021_5.mm2;32;no;600
J1002_1.mm2;36;no;600
J10022_1.mm2;33;no;600
J10022_2.mm2;29;no;600
J10022_3.mm2;24;no;600
J10022_4.mm2;30;no;600
J10022_5.mm2;22;no;600
J1002_2.mm2;32;no;600
J10023_1.mm2;24;no;600
J10023_2.mm2;25;yes;260,50
J10023_3.mm2;24;no;600
J10023_4.mm2;21;yes;395,62
J10023_5.mm2;28;yes;329,52
J1002_3.mm2;36;no;600
J10024_1.mm2;21;no;600
J10024_2.mm2;24;no;600
J10024_3.mm2;25;yes;591,60
J10024_4.mm2;28;yes;192,34
J10024_5.mm2;28;no;600
J1002_4.mm2;33;no;600
J10025_1.mm2;;no;600
J10025_2.mm2;;no;600
J10025_3.mm2;41;no;600
J10025_4.mm2;;no;600
J10025_5.mm2;43;no;600
J1002_5.mm2;31;no;600
J10026_1.mm2;24;yes;90,97
J10026_2.mm2;22;yes;43,38
J10026_3.mm2;20;yes;70,52
J10026_4.mm2;25;yes;29,34
J10026_5.mm2;23;yes;137,64
J10027_1.mm2;28;yes;31,04
J10027_2.mm2;24;yes;37,33
J10027_3.mm2;23;yes;41,52
J10027_4.mm2;24;yes;29,22
J10027_5.mm2;22;yes;36,93
J10028_1.mm2;20;yes;59,80
J10028_2.mm2;24;yes;32,25
J10028_3.mm2;22;yes;50,78
J10028_4.mm2;23;yes;40,85
J10028_5.mm2;19;yes;49,65
J10029_1.mm2;20;yes;21,91
J10029_2.mm2;20;yes;19,60
J10029_3.mm2;27;yes;22,09
J10029_4.mm2;27;yes;20,55
J10029_5.mm2;23;yes;32,13
J10030_1.mm2;24;yes;38,43
J10030_2.mm2;20;yes;55,45
J10030_3.mm2;22;yes;39,01
J10030_4.mm2;20;yes;45,96
J10030_5.mm2;22;yes;48,39
J10031_1.mm2;39;no;600
J10031_2.mm2;39;no;600
J10031_3.mm2;49;no;600
J10031_4.mm2;;no;600
J10031_5.mm2;41;no;600
J1003_1.mm2;29;no;600
J10032_1.mm2;23;yes;263,32
J10032_2.mm2;22;yes;386,06
J10032_3.mm2;25;yes;537,89
J10032_4.mm2;26;no;600
J10032_5.mm2;23;no;600
J1003_2.mm2;29;no;600
J10033_1.mm2;21;yes;279,83
J10033_2.mm2;23;yes;184,91
J10033_3.mm2;25;yes;173,62
J10033_4.mm2;20;yes;199,21
J10033_5.mm2;25;yes;160,22
J1003_3.mm2;24;no;600
J10034_1.mm2;24;yes;222,37
J10034_2.mm2;20;yes;216,85
J10034_3.mm2;22;yes;253,86
J10034_4.mm2;17;yes;226,61
J10034_5.mm2;20;yes;135,93
J1003_4.mm2;27;no;600
J10035_1.mm2;20;yes;293,40
J10035_2.mm2;17;yes;260,20
J10035_3.mm2;20;yes;361,39
J10035_4.mm2;22;yes;151,27
J10035_5.mm2;27;yes;125,65
J1003_5.mm2;30;no;600
J10036_1.mm2;25;yes;170,67
J10036_2.mm2;19;yes;397,94
J10036_3.mm2;28;yes;276,66
J10036_4.mm2;28;yes;112,01
J10036_5.mm2;21;yes;230,14
J10037_1.mm2;;no;600
J10037_2.mm2;;no;600
J10037_3.mm2;73;no;600
J10037_4.mm2;68;no;600
J10037_5.mm2;;no;600
J10038_1.mm2;44;no;600
J10038_2.mm2;54;no;600
J10038_3.mm2;41;no;600
J10038_4.mm2;46;no;600
J10038_5.mm2;50;no;600
J10039_1.mm2;46;no;600
J10039_2.mm2;36;no;600
J10039_3.mm2;38;no;600
J10039_4.mm2;36;yes;138,93
J10039_5.mm2;43;no;600
J10040_1.mm2;40;no;600
J10040_2.mm2;35;no;600
J10040_3.mm2;39;no;600
J10040_4.mm2;36;yes;468,02
J10040_5.mm2;39;no;600
J10041_1.mm2;30;yes;49,75
J10041_2.mm2;29;yes;71,06
J10041_3.mm2;32;no;600
J10041_4.mm2;30;yes;72,84
J10041_5.mm2;33;yes;218,72
J1004_1.mm2;31;no;600
J10042_1.mm2;30;yes;318,70
J10042_2.mm2;35;yes;74,81
J10042_3.mm2;37;yes;82,45
J10042_4.mm2;33;yes;122,98
J10042_5.mm2;36;yes;267,92
J1004_2.mm2;31;no;600
J10043_1.mm2;;no;600
J10043_2.mm2;;no;600
J10043_3.mm2;106;no;600
J10043_4.mm2;99;no;600
J10043_5.mm2;;no;600
J1004_3.mm2;25;yes;496,67
J10044_1.mm2;104;no;600
J10044_2.mm2;120;no;600
J10044_3.mm2;75;no;600
J10044_4.mm2;102;no;600
J10044_5.mm2;116;no;600
J1004_4.mm2;26;no;600
J10045_1.mm2;90;no;600
J10045_2.mm2;80;no;600
J10045_3.mm2;77;no;600
J10045_4.mm2;72;no;600
J10045_5.mm2;73;no;600
J1004_5.mm2;25;yes;115,70
J10046_1.mm2;73;no;600
J10046_2.mm2;75;no;600
J10046_3.mm2;92;no;600
J10046_4.mm2;86;no;600
J10046_5.mm2;80;no;600
J10047_1.mm2;59;no;600
J10047_2.mm2;55;no;600
J10047_3.mm2;72;no;600
J10047_4.mm2;63;no;600
J10047_5.mm2;52;no;600
J10048_1.mm2;66;no;600
J10048_2.mm2;68;no;600
J10048_3.mm2;65;no;600
J10048_4.mm2;71;no;600
J10048_5.mm2;57;no;600
J10049_1.mm2;61;no;600
J10049_2.mm2;66;no;600
J10049_3.mm2;;no;600
J10049_4.mm2;;no;600
J10049_5.mm2;;no;600
J10050_1.mm2;37;no;600
J10050_2.mm2;37;yes;35,84
J10050_3.mm2;34;yes;82,28
J10050_4.mm2;35;no;600
J10050_5.mm2;39;yes;33,91
J10051_1.mm2;32;yes;36,45
J10051_2.mm2;34;yes;39,48
J10051_3.mm2;32;yes;48,90
J10051_4.mm2;39;yes;34,27
J10051_5.mm2;29;yes;75,15
J1005_1.mm2;22;yes;228,57
J10052_1.mm2;38;yes;26,34
J10052_2.mm2;39;yes;25,45
J10052_3.mm2;32;yes;32,35
J10052_4.mm2;29;yes;42,41
J10052_5.mm2;30;yes;212,50
J1005_2.mm2;23;yes;434,37
J10053_1.mm2;31;yes;12,25
J10053_2.mm2;31;yes;27,49
J10053_3.mm2;31;yes;15,70
J10053_4.mm2;37;yes;13,59
J10053_5.mm2;46;yes;19,33
J1005_3.mm2;27;no;600
J10054_1.mm2;27;yes;25,30
J10054_2.mm2;33;yes;32,70
J10054_3.mm2;30;yes;32,59
J10054_4.mm2;32;yes;28,96
J10054_5.mm2;35;yes;25,04
J1005_4.mm2;22;no;600
J10055_1.mm2;71;no;600
J10055_2.mm2;69;no;600
J10055_3.mm2;;no;600
J10055_4.mm2;63;no;600
J10055_5.mm2;61;no;600
J1005_5.mm2;20;yes;155,47
J10056_1.mm2;50;no;600
