instance;best_makespan;opt_or_unsat_certified;time
J1003_3.mm2;21;yes;8,34
J10034_1.mm2;24;yes;5,57
J10034_2.mm2;20;yes;2,71
J10034_3.mm2;22;yes;3,81
J10034_4.mm2;17;yes;4,20
J10034_5.mm2;20;yes;2,20
J1003_4.mm2;22;yes;145,05
J10035_1.mm2;20;yes;4,80
J10035_2.mm2;17;yes;3,66
J10035_3.mm2;20;yes;3,30
J10035_4.mm2;22;yes;2,17
J10035_5.mm2;27;yes;2,44
J1003_5.mm2;23;yes;39,90
J10036_1.mm2;25;yes;3,00
J10036_2.mm2;19;yes;3,09
J10036_3.mm2;28;yes;4,79
J10036_4.mm2;28;yes;1,99
J10036_5.mm2;21;yes;3,33
J10037_1.mm2;53;no;600
J10037_2.mm2;72;no;600
J10037_3.mm2;60;no;600
J10037_4.mm2;54;no;600
J10037_5.mm2;60;no;600
J10038_1.mm2;42;no;600
J10038_2.mm2;51;no;600
J10038_3.mm2;40;no;600
J10038_4.mm2;41;no;600
J10038_5.mm2;45;no;600
J10039_1.mm2;35;no;600
J10039_2.mm2;31;yes;409,43
J10039_3.mm2;34;no;600
J10039_4.mm2;36;yes;5,44
J10039_5.mm2;37;yes;15,05
J10040_1.mm2;36;no;600
J10040_2.mm2;32;no;600
J10040_3.mm2;37;no;600
J10040_4.mm2;36;yes;11,15
J10040_5.mm2;36;no;600
J10041_1.mm2;30;yes;4,79
J10041_2.mm2;29;yes;4,78
J10041_3.mm2;31;yes;69,05
J10041_4.mm2;30;yes;5,61
J10041_5.mm2;33;yes;10,70
J1004_1.mm2;27;no;600
J10042_1.mm2;30;yes;29,91
J10042_2.mm2;35;yes;2,87
J10042_3.mm2;37;yes;4,47
J10042_4.mm2;33;yes;5,71
J10042_5.mm2;36;yes;5,42
J1004_2.mm2;26;no;600
J10043_1.mm2;;no;600
J10043_2.mm2;89;no;600
J10043_3.mm2;105;no;600
J10043_4.mm2;95;no;600
J10043_5.mm2;105;no;600
J1004_3.mm2;25;yes;3,88
J10044_1.mm2;87;no;600
J10044_2.mm2;86;no;600
J10044_3.mm2;68;no;600
J10044_4.mm2;94;no;600
J10044_5.mm2;106;no;600
J1004_4.mm2;23;yes;479,34
J10045_1.mm2;79;no;600
J10045_2.mm2;71;no;600
J10045_3.mm2;68;no;600
J10045_4.mm2;67;no;600
J10045_5.mm2;66;no;600
J1004_5.mm2;25;yes;2,97
J10046_1.mm2;68;no;600
J10046_2.mm2;67;no;600
J10046_3.mm2;85;no;600
J10046_4.mm2;81;no;600
J10046_5.mm2;73;no;600
J10047_1.mm2;57;no;600
J10047_2.mm2;52;no;600
J10047_3.mm2;68;no;600
J10047_4.mm2;62;no;600
J10047_5.mm2;45;no;600
J10048_1.mm2;61;no;600
J10048_2.mm2;64;no;600
J10048_3.mm2;61;no;600
J10048_4.mm2;67;no;600
J10048_5.mm2;53;no;600
J10049_1.mm2;50;no;600
J10049_2.mm2;45;no;600
J10049_3.mm2;70;no;600
J10049_4.mm2;54;no;600
J10049_5.mm2;54;no;600
J10050_1.mm2;36;yes;84,91
J10050_2.mm2;37;yes;4,08
J10050_3.mm2;34;yes;9,00
J10050_4.mm2;34;yes;29,60
J10050_5.mm2;39;yes;4,95
J10051_1.mm2;32;yes;3,67
J10051_2.mm2;34;yes;4,31
J10051_3.mm2;32;yes;4,53
J10051_4.mm2;39;yes;2,70
J10051_5.mm2;29;yes;6,41
J1005_1.mm2;22;yes;4,40
J10052_1.mm2;38;yes;2,48
J10052_2.mm2;39;yes;2,97
J10052_3.mm2;32;yes;3,67
J10052_4.mm2;29;yes;5,94
J10052_5.mm2;30;yes;18,40
J1005_2.mm2;23;yes;6,32
J10053_1.mm2;31;yes;2,86
J10053_2.mm2;31;yes;3,81
J10053_3.mm2;31;yes;3,58
J10053_4.mm2;37;yes;1,57
J10053_5.mm2;46;yes;3,47
J1005_3.mm2;24;no;600
J10054_1.mm2;27;yes;2,46
J10054_2.mm2;33;yes;3,92
J10054_3.mm2;30;yes;4,13
J10054_4.mm2;32;yes;3,31
J10054_5.mm2;35;yes;2,38
J1005_4.mm2;21;no;600
J10055_1.mm2;55;no;600
J10055_2.mm2;58;no;600
J10055_3.mm2;56;no;600
J10055_4.mm2;52;no;600
J10055_5.mm2;53;no;600
J1005_5.mm2;20;yes;4,05
J10056_1.mm2;45;no;600
J10056_2.mm2;39;no;600
J10056_3.mm2;40;no;600
J10056_4.mm2;51;no;600
J10056_5.mm2;40;no;600
J10057_1.mm2;37;yes;11,22
J10057_2.mm2;33;no;600
J10057_3.mm2;34;yes;565,51
J10057_4.mm2;33;yes;19,09
