instance;best_makespan;opt_or_unsat_certified;time
J10034_1.mm2;24;yes;38,04
J10034_2.mm2;20;yes;16,41
J10034_3.mm2;22;yes;22,46
J10034_4.mm2;17;yes;31,71
J10034_5.mm2;20;yes;18,79
J1003_4.mm2;22;yes;574,25
J10035_1.mm2;20;yes;34,85
J10035_2.mm2;17;yes;26,71
J10035_3.mm2;20;yes;19,12
J10035_4.mm2;22;yes;17,32
J10035_5.mm2;27;yes;19,21
J1003_5.mm2;26;no;600
J10036_1.mm2;25;yes;15,28
J10036_2.mm2;19;yes;20,33
J10036_3.mm2;28;yes;30,36
J10036_4.mm2;28;yes;17,67
J10036_5.mm2;21;yes;24,44
J10037_1.mm2;;no;600
J10037_2.mm2;;no;600
J10037_3.mm2;74;no;600
J10037_4.mm2;68;no;600
J10037_5.mm2;;no;600
J10038_1.mm2;43;no;600
J10038_2.mm2;51;no;600
J10038_3.mm2;40;no;600
J10038_4.mm2;45;no;600
J10038_5.mm2;46;no;600
J10039_1.mm2;37;no;600
J10039_2.mm2;32;no;600
J10039_3.mm2;33;no;600
J10039_4.mm2;36;yes;8,91
J10039_5.mm2;37;yes;42,91
J10040_1.mm2;37;no;600
J10040_2.mm2;31;no;600
J10040_3.mm2;37;no;600
J10040_4.mm2;36;yes;22,62
J10040_5.mm2;36;no;600
J10041_1.mm2;30;yes;9,04
J10041_2.mm2;29;yes;8,84
J10041_3.mm2;31;yes;124,56
J10041_4.mm2;30;yes;9,77
J10041_5.mm2;33;yes;15,80
J1004_1.mm2;28;no;600
J10042_1.mm2;30;yes;18,81
J10042_2.mm2;35;yes;5,58
J10042_3.mm2;37;yes;8,01
J10042_4.mm2;33;yes;11,88
J10042_5.mm2;36;yes;10,58
J1004_2.mm2;28;no;600
J10043_1.mm2;;no;600
J10043_2.mm2;;no;600
J10043_3.mm2;106;no;600
J10043_4.mm2;99;no;600
J10043_5.mm2;;no;600
J1004_3.mm2;25;yes;11,74
J10044_1.mm2;88;no;600
J10044_2.mm2;89;no;600
J10044_3.mm2;67;no;600
J10044_4.mm2;95;no;600
J10044_5.mm2;106;no;600
J1004_4.mm2;25;no;600
J10045_1.mm2;80;no;600
J10045_2.mm2;73;no;600
J10045_3.mm2;73;no;600
J10045_4.mm2;65;no;600
J10045_5.mm2;65;no;600
J1004_5.mm2;25;yes;6,64
J10046_1.mm2;71;no;600
J10046_2.mm2;69;no;600
J10046_3.mm2;87;no;600
J10046_4.mm2;82;no;600
J10046_5.mm2;74;no;600
J10047_1.mm2;57;no;600
J10047_2.mm2;55;no;600
J10047_3.mm2;69;no;600
J10047_4.mm2;63;no;600
J10047_5.mm2;49;no;600
J10048_1.mm2;62;no;600
J10048_2.mm2;65;no;600
J10048_3.mm2;61;no;600
J10048_4.mm2;69;no;600
J10048_5.mm2;56;no;600
J10049_1.mm2;52;no;600
J10049_2.mm2;47;no;600
J10049_3.mm2;;no;600
J10049_4.mm2;;no;600
J10049_5.mm2;;no;600
J10050_1.mm2;36;no;600
J10050_2.mm2;37;yes;8,95
J10050_3.mm2;34;yes;29,59
J10050_4.mm2;34;yes;508,57
J10050_5.mm2;39;yes;18,05
J10051_1.mm2;32;yes;8,12
J10051_2.mm2;34;yes;10,28
J10051_3.mm2;32;yes;8,83
J10051_4.mm2;39;yes;6,04
J10051_5.mm2;29;yes;16,65
J1005_1.mm2;22;yes;9,62
J10052_1.mm2;38;yes;6,61
J10052_2.mm2;39;yes;7,01
J10052_3.mm2;32;yes;8,76
J10052_4.mm2;29;yes;22,53
J10052_5.mm2;30;yes;72,72
J1005_2.mm2;23;yes;14,69
J10053_1.mm2;31;yes;8,32
J10053_2.mm2;31;yes;10,14
J10053_3.mm2;31;yes;9,98
J10053_4.mm2;37;yes;3,65
J10053_5.mm2;46;yes;8,73
J1005_3.mm2;24;no;600
J10054_1.mm2;27;yes;6,50
J10054_2.mm2;33;yes;9,74
J10054_3.mm2;30;yes;10,25
