instance,horizon,variables,clauses,makespan,status,Solve time,timeout
j1010_1.mm,77,11420,62542,17,Optimal,0.39,No
j1010_10.mm,80,11191,63393,17,Optimal,0.43,No
j1010_2.mm,80,11656,61658,24,Optimal,0.44,No
j1010_3.mm,81,11202,60485,21,Optimal,0.35,No
j1010_4.mm,81,13781,69979,15,Optimal,0.55,No
j1010_5.mm,77,11450,58206,24,Optimal,0.44,No
j1010_6.mm,79,11609,63173,18,Optimal,0.48,No
j1010_7.mm,81,16515,73850,15,Optimal,0.57,No
j1010_8.mm,76,11955,62446,15,Optimal,0.50,No
j1010_9.mm,70,13044,60511,10,Optimal,0.50,No
j1011_1.mm,84,14963,72712,20,Optimal,0.58,No
j1011_10.mm,80,13757,67692,21,Optimal,0.42,No
j1011_2.mm,64,10965,49816,11,Optimal,0.32,No
j1011_3.mm,78,16060,71732,12,Optimal,0.61,No
j1011_4.mm,75,11147,56613,23,Optimal,0.38,No
j1011_5.mm,81,16726,76693,15,Optimal,0.58,No
j1011_6.mm,65,9699,47878,15,Optimal,0.35,No
j1011_7.mm,85,12693,71986,11,Optimal,0.53,No
j1011_8.mm,78,14400,67806,14,Optimal,0.53,No
j1011_9.mm,72,11092,55127,16,Optimal,0.40,No
j1012_1.mm,77,12827,64193,15,Optimal,0.59,No
j1012_10.mm,78,12378,63416,9,Optimal,0.53,No
j1012_2.mm,78,12260,63703,15,Optimal,0.38,No
j1012_3.mm,81,12872,65373,16,Optimal,0.53,No
j1012_4.mm,86,16202,78029,17,Optimal,-0.44,No
j1012_5.mm,91,14487,82425,13,Optimal,0.64,No
j1012_6.mm,80,12278,65137,22,Optimal,0.51,No
j1012_7.mm,74,12970,63037,12,Optimal,0.42,No
j1012_8.mm,78,13800,65371,19,Optimal,0.54,No
j1012_9.mm,87,13523,69973,21,Optimal,0.62,No
j1013_1.mm,73,14574,63953,24,Optimal,0.41,No
j1013_10.mm,79,12159,65872,33,Optimal,0.64,No
j1013_2.mm,80,17117,74714,21,Optimal,0.71,No
j1013_3.mm,83,14359,73179,27,Optimal,0.50,No
j1013_4.mm,69,11413,53925,27,Optimal,0.57,No
j1013_5.mm,80,12757,67460,24,Optimal,0.44,No
j1013_6.mm,83,12523,67082,23,Optimal,0.67,No
j1013_7.mm,71,12540,59365,24,Optimal,0.38,No
j1013_8.mm,79,17757,76009,19,Optimal,0.74,No
j1013_9.mm,76,12531,62645,24,Optimal,0.41,No
j1014_1.mm,80,15493,72446,16,Optimal,0.78,No
j1014_10.mm,85,17369,80757,15,Optimal,0.57,No
j1014_2.mm,87,17669,82912,19,Optimal,0.89,No
j1014_3.mm,87,15221,77290,22,Optimal,0.83,No
j1014_4.mm,71,13234,58927,19,Optimal,0.40,No
j1014_5.mm,83,15967,76268,19,Optimal,0.49,No
j1014_6.mm,70,12241,59177,16,Optimal,0.72,No
j1014_7.mm,90,17382,84675,21,Optimal,0.66,No
