instance,horizon,variables,clauses,makespan,status,Solve time,timeout
j1010_1.mm,77,2457,346,17,Optimal,4.16,No
j1010_10.mm,80,2547,355,17,Optimal,10.25,No
j1010_2.mm,80,2544,355,24,Optimal,7.81,No
j1010_3.mm,81,2561,358,21,Optimal,4.95,No
j1010_4.mm,81,2576,358,15,Optimal,2.55,No
j1010_5.mm,77,2445,346,24,Optimal,8.58,No
j1010_6.mm,79,2533,352,18,Optimal,19.09,No
j1010_7.mm,81,2582,358,15,Optimal,5.28,No
j1010_8.mm,76,2428,343,15,Optimal,20.85,No
j1010_9.mm,70,2245,325,10,Optimal,6.83,No
j1011_1.mm,84,2654,367,20,Optimal,6.06,No
j1011_10.mm,80,2514,355,21,Optimal,6.26,No
j1011_2.mm,64,2059,307,11,Optimal,2.22,No
j1011_3.mm,78,2486,349,12,Optimal,3.58,No
j1011_4.mm,75,2366,340,23,Optimal,4.18,No
j1011_5.mm,81,2570,358,15,Optimal,5.60,No
j1011_6.mm,65,2067,310,15,Optimal,2.13,No
j1011_7.mm,85,2722,370,11,Optimal,5.89,No
j1011_8.mm,78,2486,349,14,Optimal,4.28,No
j1011_9.mm,72,2300,331,16,Optimal,3.63,No
j1012_1.mm,77,2469,346,15,Optimal,2.62,No
j1012_10.mm,78,2519,349,9,Optimal,4.37,No
j1012_2.mm,78,2486,349,15,Optimal,5.08,No
j1012_3.mm,81,2591,358,16,Optimal,1.76,No
j1012_4.mm,86,2718,373,17,Optimal,3.45,No
j1012_5.mm,91,2896,388,13,Optimal,6.29,No
j1012_6.mm,80,2505,355,22,Optimal,4.40,No
j1012_7.mm,74,2358,337,12,Optimal,4.07,No
j1012_8.mm,78,2483,349,19,Optimal,3.56,No
j1012_9.mm,87,2750,376,21,Optimal,4.94,No
j1013_1.mm,73,2323,334,24,Optimal,3.20,No
j1013_10.mm,79,2527,352,33,Optimal,5.10,No
j1013_2.mm,80,2538,355,21,Optimal,9.27,No
j1013_3.mm,83,2616,364,27,Optimal,12.29,No
j1013_4.mm,69,2189,322,27,Optimal,2.55,No
j1013_5.mm,80,2580,355,24,Optimal,2.80,No
j1013_6.mm,83,2634,364,23,Optimal,8.90,No
j1013_7.mm,71,2271,328,24,Optimal,6.35,No
j1013_8.mm,79,2527,352,19,Optimal,9.52,No
j1013_9.mm,76,2428,343,24,Optimal,6.30,No
j1014_1.mm,80,2535,355,16,Optimal,3.44,No
j1014_10.mm,85,2731,370,15,Optimal,17.19,No
j1014_2.mm,87,2765,376,19,Optimal,19.71,No
j1014_3.mm,87,2747,376,22,Optimal,7.15,No
j1014_4.mm,71,2268,328,19,Optimal,7.77,No
j1014_5.mm,83,2610,364,19,Optimal,7.63,No
j1014_6.mm,70,2221,325,16,Optimal,8.80,No
j1014_7.mm,90,2876,385,21,Optimal,23.59,No
j1014_8.mm,85,2695,370,24,Optimal,13.88,No
j1014_9.mm,91,2863,388,22,Optimal,14.95,No
j1015_1.mm,80,2562,355,13,Optimal,6.96,No
j1015_10.mm,81,2591,358,18,Optimal,3.89,No
