instance,horizon,variables,clauses,makespan,status,Solve time,timeout
j2010_1.mm,141,77188,361413,18,Optimal,3.08,No
j2010_10.mm,150,85294,398333,28,Optimal,3.45,No
j2010_2.mm,155,97897,440659,24,Optimal,4.26,No
j2010_3.mm,164,91675,449220,20,Optimal,4.23,No
j2010_4.mm,147,77671,375478,19,Optimal,3.54,No
j2010_5.mm,162,88177,442616,22,Optimal,4.13,No
j2010_6.mm,156,91725,430742,25,Optimal,4.05,No
j2010_7.mm,168,88891,454327,23,Optimal,4.26,No
j2010_8.mm,154,96723,438252,17,Optimal,4.17,No
j2010_9.mm,144,66791,349819,22,Optimal,3.16,No
j2011_1.mm,148,118864,467878,21,Optimal,3.62,No
j2011_10.mm,168,135726,537401,26,Optimal,5.23,No
j2011_2.mm,150,124167,484376,18,Optimal,4.80,No
j2011_3.mm,159,103534,458278,25,Optimal,4.36,No
j2011_4.mm,159,98121,440334,29,Optimal,4.19,No
j2011_5.mm,159,124596,504637,23,Optimal,5.04,No
j2011_6.mm,164,128954,517027,31,Optimal,5.02,No
j2011_7.mm,149,96451,425772,23,Optimal,4.48,No
j2011_8.mm,169,135089,555003,19,Optimal,5.56,No
j2011_9.mm,157,101579,451239,22,Optimal,4.79,No
j2012_1.mm,159,136009,528191,21,Optimal,5.28,No
j2012_10.mm,165,164804,596372,20,Optimal,4.84,No
j2012_2.mm,152,152910,540168,19,Optimal,6.09,No
j2012_3.mm,160,134753,520170,34,Optimal,5.18,No
j2012_4.mm,146,134433,488427,19,Optimal,4.89,No
j2012_5.mm,154,131842,504414,23,Optimal,5.12,No
j2012_6.mm,174,165843,628809,20,Optimal,5.25,No
j2012_7.mm,144,139439,496946,21,Optimal,4.54,No
j2012_8.mm,159,127932,510962,28,Optimal,5.02,No
j2012_9.mm,163,83119,420082,32,Optimal,3.98,No
j2013_1.mm,146,156596,537350,27,Optimal,8.82,No
j2013_10.mm,158,148451,554466,40,Optimal,9.40,No
j2013_2.mm,155,136354,514864,37,Optimal,8.62,No
j2013_3.mm,160,137350,521882,45,Optimal,9.93,No
j2013_4.mm,166,170792,609660,39,Optimal,5.64,No
j2013_5.mm,172,165578,626727,35,Optimal,12.09,No
j2013_6.mm,163,152333,565654,38,Optimal,6.12,No
j2013_7.mm,170,158428,598908,38,Optimal,8.97,No
j2013_8.mm,171,160460,602080,35,Optimal,9.09,No
j2013_9.mm,153,145794,534551,36,Optimal,6.73,No
