instance;best_makespan;opt_or_unsat_certified;time
j30t1_15_2.smt;52;yes;0,96
j30t1_15_3.smt;61;yes;3,35
j30t1_15_4.smt;75;yes;2,02
j30t1_15_5.smt;77;yes;1,04
j30t1_15_6.smt;81;yes;1,33
j30t1_15_7.smt;55;yes;0,44
j30t1_15_8.smt;52;yes;1,96
j30t1_15_9.smt;61;yes;1,80
j30t1_1_5.smt;42;yes;0,10
j30t1_16_10.smt;51;yes;0,00
j30t1_16_1.smt;60;yes;0,75
j30t1_16_2.smt;57;yes;1,68
j30t1_16_3.smt;68;yes;2,45
j30t1_16_4.smt;58;yes;2,52
j30t1_16_5.smt;60;yes;1,01
j30t1_16_6.smt;56;yes;0,63
j30t1_16_7.smt;68;yes;1,54
j30t1_16_8.smt;56;yes;1,55
j30t1_16_9.smt;63;yes;1,77
j30t1_1_6.smt;50;yes;0,08
j30t1_17_10.smt;72;yes;0,15
j30t1_17_1.smt;68;yes;0,12
j30t1_17_2.smt;94;yes;0,24
j30t1_17_3.smt;100;yes;0,22
j30t1_17_4.smt;83;yes;0,10
j30t1_17_5.smt;56;yes;0,09
j30t1_17_6.smt;66;yes;0,16
j30t1_17_7.smt;68;yes;0,07
j30t1_17_8.smt;69;yes;0,20
j30t1_17_9.smt;73;yes;0,07
j30t1_1_7.smt;66;yes;0,04
j30t1_18_10.smt;56;yes;0,06
j30t1_18_1.smt;63;yes;0,06
j30t1_18_2.smt;66;yes;0,13
j30t1_18_3.smt;58;yes;0,12
j30t1_18_4.smt;93;yes;0,11
j30t1_18_5.smt;72;yes;0,08
j30t1_18_6.smt;69;yes;0,20
j30t1_18_7.smt;56;yes;0,10
j30t1_18_8.smt;61;yes;0,05
j30t1_18_9.smt;53;yes;0,06
j30t1_1_8.smt;67;yes;0,13
j30t1_19_10.smt;46;yes;0,04
j30t1_19_1.smt;47;yes;0,04
j30t1_19_2.smt;64;yes;0,05
j30t1_19_3.smt;91;yes;0,27
j30t1_19_4.smt;49;yes;0,12
j30t1_19_5.smt;63;yes;0,20
j30t1_19_6.smt;52;yes;0,03
j30t1_19_7.smt;63;yes;0,09
j30t1_19_8.smt;65;yes;0,09
j30t1_19_9.smt;62;yes;0,12
j30t1_1_9.smt;54;yes;0,08
j30t1_20_10.smt;43;yes;0,07
j30t1_20_1.smt;70;yes;0,26
j30t1_20_2.smt;91;yes;0,10
j30t1_20_3.smt;54;yes;0,06
j30t1_20_4.smt;60;yes;0,14
j30t1_20_5.smt;66;yes;0,05
j30t1_20_6.smt;70;yes;0,09
j30t1_20_7.smt;43;yes;0,14
j30t1_20_8.smt;65;yes;0,27
j30t1_20_9.smt;48;yes;0,05
j30t1_2_10.smt;67;yes;0,07
j30t1_21_10.smt;100;yes;1,83
j30t1_21_1.smt;93;yes;0,70
j30t1_21_2.smt;59;yes;0,56
j30t1_21_3.smt;80;yes;0,69
j30t1_21_4.smt;102;yes;0,87
j30t1_21_5.smt;63;yes;0,79
j30t1_21_6.smt;87;yes;1,05
j30t1_21_7.smt;69;yes;0,48
j30t1_21_8.smt;67;yes;0,48
j30t1_21_9.smt;76;yes;1,66
j30t1_2_1.smt;45;yes;0,05
j30t1_22_10.smt;79;yes;0,72
j30t1_22_1.smt;45;yes;0,35
j30t1_22_2.smt;48;yes;0,11
j30t1_22_3.smt;69;yes;0,78
j30t1_22_4.smt;56;yes;0,24
j30t1_22_5.smt;63;yes;0,99
j30t1_22_6.smt;65;yes;0,52
j30t1_22_7.smt;66;yes;1,22
j30t1_22_8.smt;61;yes;0,54
j30t1_22_9.smt;103;yes;0,40
j30t1_2_2.smt;62;yes;0,12
j30t1_23_10.smt;61;yes;0,00
j30t1_23_1.smt;76;yes;0,61
j30t1_23_2.smt;53;yes;0,00
j30t1_23_3.smt;52;yes;0,22
j30t1_23_4.smt;75;yes;0,15
j30t1_23_5.smt;68;yes;0,67
j30t1_23_6.smt;63;yes;0,40
j30t1_23_7.smt;60;yes;0,33
j30t1_23_8.smt;50;yes;0,26
j30t1_23_9.smt;72;yes;0,99
j30t1_2_3.smt;52;yes;0,07
j30t1_24_10.smt;55;yes;0,08
j30t1_24_1.smt;73;yes;0,34
j30t1_24_2.smt;77;yes;0,30
j30t1_24_3.smt;85;yes;0,66
j30t1_24_4.smt;68;yes;0,35
j30t1_24_5.smt;75;yes;0,67
j30t1_24_6.smt;66;yes;0,25
j30t1_24_7.smt;45;yes;0,14
j30t1_24_8.smt;46;yes;0,27
