instance,horizon,variables,clauses,makespan,status,Solve time,timeout,error,,,534,18,88
j3044_7.mm,247,251235,821270,35,Optimal,0.5,No,,,,,,
j3044_8.mm,259,256846,869899,36,Optimal,0.48,No,,,,,,
j3044_9.mm,247,251804,811523,35,Optimal,0.55,No,,,,,,
j3045_1.mm,238,428276,1294844,41,Feasible,601.13,Yes,wall-time kill (parent),,,,,
j3045_10.mm,240,433006,1291827,49,Feasible,601.14,Yes,wall-time kill (parent),,,,,
j3045_2.mm,228,309455,977659,49,Feasible,601.13,Yes,wall-time kill (parent),,,,,
j3045_3.mm,234,356588,1104653,44,Feasible,601.13,Yes,wall-time kill (parent),,,,,
j3045_4.mm,231,377332,1146296,57,Feasible,601.13,Yes,wall-time kill (parent),,,,,
j3045_5.mm,222,340351,1046069,41,Optimal,317.34,No,,,,,,
j3045_6.mm,246,413211,1239385,54,Feasible,601.13,Yes,wall-time kill (parent),,,,,
j3045_7.mm,240,403842,1194772,46,Optimal,57.57,No,,,,,,
j3045_8.mm,245,410763,1258266,51,Feasible,601.14,Yes,wall-time kill (parent),,,,,
j3045_9.mm,235,437406,1278886,44,Feasible,601.16,Yes,wall-time kill (parent),,,,,
j3046_1.mm,229,506407,1358118,33,Optimal,1.02,No,,,,,,
j3046_10.mm,240,409046,1200490,37,Optimal,1.35,No,,,,,,
j3046_2.mm,238,446826,1255855,40,Optimal,0.85,No,,,,,,
j3046_3.mm,231,448883,1270091,30,Optimal,8.71,No,,,,,,
j3046_4.mm,257,565187,1527366,37,Optimal,12.26,No,,,,,,
j3046_5.mm,261,579519,1585401,33,Optimal,0.91,No,,,,,,
j3046_6.mm,248,438643,1275733,33,Optimal,2.5,No,,,,,,
j3046_7.mm,246,473487,1323613,43,Optimal,11.12,No,,,,,,
j3046_8.mm,223,380621,1151144,33,Optimal,43.06,No,,,,,,
j3046_9.mm,252,437849,1306469,40,Optimal,15.02,No,,,,,,
j3047_1.mm,249,527592,1424513,39,Optimal,0.75,No,,,,,,
j3047_10.mm,248,476751,1323784,42,Optimal,0.76,No,,,,,,
j3047_2.mm,227,472559,1262032,29,Optimal,0.7,No,,,,,,
j3047_3.mm,240,520681,1403212,29,Optimal,1.38,No,,,,,,
j3047_4.mm,252,524281,1434912,38,Optimal,2.04,No,,,,,,
j3047_5.mm,239,540752,1431979,26,Optimal,0.84,No,,,,,,
j3047_6.mm,242,522454,1401835,34,Optimal,3.24,No,,,,,,
j3047_7.mm,241,549416,1459955,28,Optimal,1.34,No,,,,,,
j3047_8.mm,250,567080,1529118,38,Optimal,0.93,No,,,,,,
j3047_9.mm,225,515737,1355223,34,Optimal,0.72,No,,,,,,
j3048_1.mm,227,524859,1393813,28,Optimal,0.73,No,,,,,,
j3048_10.mm,236,684559,1704990,28,Optimal,0.84,No,,,,,,
j3048_2.mm,218,537345,1398261,30,Optimal,0.62,No,,,,,,
j3048_3.mm,251,540208,1469206,35,Optimal,0.92,No,,,,,,
j3048_4.mm,241,628245,1579026,24,Optimal,0.75,No,,,,,,
j3048_5.mm,230,604819,1512679,25,Optimal,0.78,No,,,,,,
j3048_6.mm,242,611748,1560280,31,Optimal,0.82,No,,,,,,
j3048_7.mm,237,564027,1508199,32,Optimal,0.77,No,,,,,,
j3048_8.mm,241,617100,1572962,28,Optimal,0.99,No,,,,,,
j3048_9.mm,248,507962,1411310,37,Optimal,0.69,No,,,,,,
j3049_1.mm,228,165179,607417,34,Optimal,0.42,No,,,,,,
j3049_10.mm,247,180718,677304,36,Optimal,0.61,No,,,,,,
j3049_2.mm,248,183355,714361,52,Optimal,0.57,No,,,,,,
j3049_3.mm,246,196117,725956,35,Optimal,0.69,No,,,,,,
j3049_4.mm,226,162421,610631,48,Optimal,0.45,No,,,,,,
j3049_5.mm,240,187595,671033,37,Optimal,0.53,No,,,,,,
j3049_6.mm,249,215322,758397,39,Optimal,0.47,No,,,,,,
j3049_7.mm,240,199071,719678,36,Optimal,0.52,No,,,,,,
j3049_8.mm,235,180700,665822,34,Optimal,1.02,No,,,,,,
j3049_9.mm,236,179712,650252,35,Optimal,0.87,No,,,,,,
j304_1.mm,226,229766,735422,,Infeasible,0.07,No,,,,,,
j304_10.mm,239,255720,790311,,Infeasible,0.06,No,,,,,,
j304_2.mm,252,291374,901569,,Infeasible,0.23,No,,,,,,
j304_3.mm,247,258971,846856,,Infeasible,0.17,No,,,,,,
j304_4.mm,227,288920,877854,,Infeasible,0.04,No,,,,,,
j304_5.mm,261,244052,834354,,Infeasible,0.12,No,,,,,,
j304_6.mm,248,310488,952451,,Infeasible,0.14,No,,,,,,
j304_7.mm,246,274711,890443,,Infeasible,0.13,No,,,,,,
j304_8.mm,247,269832,849698,,Infeasible,0.12,No,,,,,,
j304_9.mm,237,234940,769917,,Infeasible,0.06,No,,,,,,
j3050_1.mm,228,205679,698192,28,Optimal,0.49,No,,,,,,
j3050_10.mm,248,231712,799066,30,Optimal,0.57,No,,,,,,
j3050_2.mm,247,209853,747966,37,Optimal,0.51,No,,,,,,
j3050_3.mm,241,204448,725347,43,Optimal,0.48,No,,,,,,
j3050_4.mm,255,250097,848548,34,Optimal,0.54,No,,,,,,
j3050_5.mm,247,222309,773702,37,Optimal,0.54,No,,,,,,
j3050_6.mm,234,184115,668510,37,Optimal,0.48,No,,,,,,
j3050_7.mm,237,231222,765255,25,Optimal,0.85,No,,,,,,
j3050_8.mm,258,210017,775038,27,Optimal,0.65,No,,,,,,
j3050_9.mm,246,278786,861321,25,Optimal,0.66,No,,,,,,
j3051_1.mm,247,260238,839411,32,Optimal,0.51,No,,,,,,
j3051_10.mm,238,248144,785888,27,Optimal,0.54,No,,,,,,
j3051_2.mm,242,283938,892049,23,Optimal,0.61,No,,,,,,
j3051_3.mm,250,250277,832804,27,Optimal,0.58,No,,,,,,
j3051_4.mm,250,245326,800288,51,Optimal,0.5,No,,,,,,
j3051_5.mm,243,259256,838918,33,Optimal,0.58,No,,,,,,
j3051_6.mm,246,248577,801678,38,Optimal,0.46,No,,,,,,
j3051_7.mm,231,265134,822823,26,Optimal,0.57,No,,,,,,
j3051_8.mm,244,235612,797013,33,Optimal,0.48,No,,,,,,
j3051_9.mm,234,256296,798801,35,Optimal,0.54,No,,,,,,
j3052_1.mm,242,273330,862847,32,Optimal,0.55,No,,,,,,
j3052_10.mm,235,287580,882164,29,Optimal,0.58,No,,,,,,
j3052_2.mm,239,255860,818730,23,Optimal,0.53,No,,,,,,
j3052_3.mm,227,249169,785250,22,Optimal,0.49,No,,,,,,
j3052_4.mm,242,276156,884715,29,Optimal,0.71,No,,,,,,
j3052_5.mm,262,331944,1006501,30,Optimal,0.65,No,,,,,,
j3052_6.mm,244,253120,817911,30,Optimal,0.53,No,,,,,,
j3052_7.mm,238,282564,868985,30,Optimal,0.54,No,,,,,,
j3052_8.mm,219,246462,758951,26,Optimal,0.49,No,,,,,,
j3052_9.mm,242,272570,858171,31,Optimal,0.6,No,,,,,,
j3053_1.mm,241,427072,1261484,42,Optimal,62.17,No,,,,,,
j3053_10.mm,225,365386,1101902,37,Optimal,8.34,No,,,,,,
j3053_2.mm,233,399418,1216497,38,Optimal,37.83,No,,,,,,
j3053_3.mm,236,380350,1147786,34,Optimal,4.71,No,,,,,,
j3053_4.mm,238,421144,1254094,44,Optimal,123.4,No,,,,,,
j3053_5.mm,245,423455,1255768,50,Feasible,601.14,Yes,wall-time kill (parent),,,,,
j3053_6.mm,242,411209,1226700,43,Optimal,138.54,No,,,,,,
j3053_7.mm,247,406669,1231540,38,Feasible,601.14,Yes,wall-time kill (parent),,,,,
j3053_8.mm,234,419966,1215050,50,Feasible,601.1,Yes,wall-time kill (parent),,,,,
j3053_9.mm,246,426708,1286945,42,Optimal,493.49,No,,,,,,
j3054_1.mm,232,456444,1247839,33,Optimal,1.19,No,,,,,,
j3054_10.mm,245,509436,1405611,29,Optimal,4.34,No,,,,,,
j3054_2.mm,239,506092,1369080,28,Optimal,9.62,No,,,,,,
j3054_3.mm,243,546055,1454420,22,Optimal,1.57,No,,,,,,
j3054_4.mm,242,493329,1374969,30,Optimal,1.13,No,,,,,,
j3054_5.mm,237,533820,1414788,28,Optimal,1.79,No,,,,,,
j3054_6.mm,244,555392,1480780,30,Optimal,0.79,No,,,,,,
j3054_7.mm,243,482131,1301219,39,Optimal,1.14,No,,,,,,
j3054_8.mm,263,580050,1551062,31,Optimal,1.6,No,,,,,,
j3054_9.mm,231,481450,1305812,28,Optimal,3.16,No,,,,,,
j3055_1.mm,245,590031,1535518,29,Optimal,0.71,No,,,,,,
j3055_10.mm,238,462263,1306568,29,Optimal,1.03,No,,,,,,
j3055_2.mm,247,540220,1451287,31,Optimal,0.87,No,,,,,,
j3055_3.mm,230,562786,1477159,28,Optimal,0.72,No,,,,,,
j3055_4.mm,225,497863,1311667,41,Optimal,0.75,No,,,,,,
j3055_5.mm,226,492568,1327058,24,Optimal,0.73,No,,,,,,
j3055_6.mm,233,575212,1522726,25,Optimal,0.76,No,,,,,,
j3055_7.mm,237,482500,1300483,44,Optimal,0.74,No,,,,,,
j3055_8.mm,245,551985,1455576,44,Optimal,0.75,No,,,,,,
j3055_9.mm,246,571707,1536886,27,Optimal,0.74,No,,,,,,
j3056_1.mm,238,552861,1467869,21,Optimal,0.78,No,,,,,,
j3056_10.mm,230,570690,1478148,39,Optimal,0.68,No,,,,,,
j3056_2.mm,241,508694,1372389,31,Optimal,0.7,No,,,,,,
j3056_3.mm,239,538432,1433420,34,Optimal,0.62,No,,,,,,
j3056_4.mm,229,491504,1333318,32,Optimal,0.66,No,,,,,,
j3056_5.mm,249,684645,1717200,29,Optimal,0.7,No,,,,,,
j3056_6.mm,235,623230,1610180,26,Optimal,0.74,No,,,,,,
j3056_7.mm,235,616867,1532252,30,Optimal,0.75,No,,,,,,
j3056_8.mm,243,642962,1659621,29,Optimal,0.78,No,,,,,,
j3056_9.mm,238,573334,1514252,33,Optimal,0.74,No,,,,,,
j3057_1.mm,217,168922,608120,30,Optimal,1.1,No,,,,,,
j3057_10.mm,251,181393,690043,36,Optimal,0.48,No,,,,,,
j3057_2.mm,227,160767,609048,46,Optimal,0.45,No,,,,,,
j3057_3.mm,237,188036,671151,29,Optimal,0.54,No,,,,,,
j3057_4.mm,227,157440,610158,35,Optimal,0.42,No,,,,,,
j3057_5.mm,221,188005,647389,27,Optimal,0.76,No,,,,,,
j3057_6.mm,225,201061,699099,25,Optimal,0.62,No,,,,,,
j3057_7.mm,246,198028,715076,29,Optimal,0.48,No,,,,,,
j3057_8.mm,228,167775,622386,30,Optimal,0.46,No,,,,,,
j3057_9.mm,210,175180,604620,31,Optimal,0.42,No,,,,,,
j3058_1.mm,232,204482,704188,30,Optimal,0.48,No,,,,,,
j3058_10.mm,240,205419,730460,27,Optimal,0.52,No,,,,,,
j3058_2.mm,243,258604,861038,32,Optimal,0.64,No,,,,,,
j3058_3.mm,239,201334,729286,32,Optimal,0.56,No,,,,,,
j3058_4.mm,238,214292,751449,27,Optimal,0.58,No,,,,,,
j3058_5.mm,251,254564,844520,28,Optimal,0.56,No,,,,,,
j3058_6.mm,246,258299,847310,24,Optimal,0.58,No,,,,,,
j3058_7.mm,249,226858,811369,26,Optimal,0.53,No,,,,,,
j3058_8.mm,256,227860,821664,28,Optimal,0.51,No,,,,,,
j3058_9.mm,257,217697,790185,30,Optimal,0.51,No,,,,,,
j3059_1.mm,255,244433,833051,24,Optimal,0.58,No,,,,,,
j3059_10.mm,257,268114,871818,29,Optimal,0.54,No,,,,,,
j3059_2.mm,251,291966,917927,23,Optimal,0.54,No,,,,,,
j3059_3.mm,245,237130,787921,34,Optimal,0.44,No,,,,,,
j3059_4.mm,235,243197,774830,25,Optimal,0.54,No,,,,,,
j3059_5.mm,254,272846,876256,28,Optimal,0.52,No,,,,,,
j3059_6.mm,234,251650,796470,27,Optimal,0.48,No,,,,,,
j3059_7.mm,234,256170,810121,34,Optimal,0.58,No,,,,,,
j3059_8.mm,248,244369,795527,26,Optimal,0.52,No,,,,,,
j3059_9.mm,214,224701,701250,34,Optimal,0.5,No,,,,,,
j305_1.mm,247,392054,1191649,,Infeasible,0.09,No,,,,,,
j305_10.mm,237,402854,1187516,,Infeasible,0.24,No,,,,,,
j305_2.mm,234,439357,1245150,,Infeasible,0.15,No,,,,,,
j305_3.mm,244,420716,1257672,,Infeasible,0.16,No,,,,,,
j305_4.mm,241,403760,1229003,,Infeasible,0.07,No,,,,,,
j305_5.mm,250,453723,1338764,,Infeasible,0.06,No,,,,,,
j305_6.mm,254,347746,1101234,,Infeasible,0.11,No,,,,,,
j305_7.mm,253,448825,1391209,,Infeasible,0.39,No,,,,,,
j305_8.mm,249,391778,1193247,,Infeasible,0.18,No,,,,,,
j305_9.mm,249,434449,1308197,,Infeasible,0.64,No,,,,,,
j3060_1.mm,246,318248,952663,22,Optimal,0.51,No,,,,,,
j3060_10.mm,230,294413,884917,23,Optimal,0.62,No,,,,,,
j3060_2.mm,250,257561,840665,38,Optimal,0.52,No,,,,,,
j3060_3.mm,254,258909,853443,39,Optimal,0.51,No,,,,,,
j3060_4.mm,247,291299,892765,23,Optimal,0.62,No,,,,,,
j3060_5.mm,243,273650,858931,34,Optimal,0.55,No,,,,,,
j3060_6.mm,237,234923,802286,36,Optimal,0.5,No,,,,,,
j3060_7.mm,239,252552,820766,25,Optimal,0.54,No,,,,,,
j3060_8.mm,238,280643,830973,29,Optimal,0.54,No,,,,,,
j3060_9.mm,232,249436,796665,31,Optimal,0.51,No,,,,,,
j3061_1.mm,236,420073,1250523,37,Optimal,6.58,No,,,,,,
j3061_10.mm,249,384219,1179858,41,Optimal,14.91,No,,,,,,
j3061_2.mm,240,399168,1224527,36,Optimal,13.13,No,,,,,,
j3061_3.mm,239,417647,1252246,39,Optimal,19.76,No,,,,,,
j3061_4.mm,241,440061,1314750,38,Optimal,63.18,No,,,,,,
j3061_5.mm,238,415396,1254523,39,Optimal,67.77,No,,,,,,
j3061_6.mm,234,400679,1203558,35,Optimal,131.09,No,,,,,,
j3061_7.mm,249,398141,1192262,44,Optimal,23.04,No,,,,,,
j3061_8.mm,230,335076,1055452,46,Optimal,10.06,No,,,,,,
j3061_9.mm,244,434114,1299705,44,Optimal,104.24,No,,,,,,
j3062_1.mm,253,504367,1429500,26,Optimal,1.53,No,,,,,,
j3062_10.mm,230,430230,1208788,26,Optimal,0.65,No,,,,,,
j3062_2.mm,232,476308,1320560,33,Optimal,1.85,No,,,,,,
j3062_3.mm,239,393786,1172229,26,Optimal,2.75,No,,,,,,
j3062_4.mm,261,528124,1458919,33,Optimal,0.9,No,,,,,,
j3062_5.mm,265,578329,1552703,42,Optimal,0.87,No,,,,,,
j3062_6.mm,246,371215,1147396,36,Optimal,1.09,No,,,,,,
j3062_7.mm,244,526670,1420498,27,Optimal,1.57,No,,,,,,
j3062_8.mm,248,464209,1322917,38,Optimal,0.87,No,,,,,,
j3062_9.mm,221,430623,1194477,26,Optimal,0.67,No,,,,,,
j3063_1.mm,231,487677,1312757,29,Optimal,0.76,No,,,,,,
j3063_10.mm,243,636704,1652524,27,Optimal,0.71,No,,,,,,
j3063_2.mm,237,587639,1524957,30,Optimal,0.73,No,,,,,,
j3063_3.mm,236,635414,1648484,24,Optimal,0.75,No,,,,,,
j3063_4.mm,248,580067,1544928,31,Optimal,0.74,No,,,,,,
j3063_5.mm,256,558362,1487768,37,Optimal,0.71,No,,,,,,
j3063_6.mm,252,489832,1320561,39,Optimal,0.69,No,,,,,,
j3063_7.mm,236,555810,1486527,26,Optimal,0.79,No,,,,,,
j3063_8.mm,242,503690,1385809,31,Optimal,0.64,No,,,,,,
j3063_9.mm,233,536006,1436775,25,Optimal,0.7,No,,,,,,
j3064_1.mm,260,638327,1704817,25,Optimal,0.72,No,,,,,,
j3064_10.mm,239,560538,1473344,36,Optimal,0.83,No,,,,,,
j3064_2.mm,238,614794,1569429,23,Optimal,0.7,No,,,,,,
j3064_3.mm,230,590553,1470524,34,Optimal,0.71,No,,,,,,
j3064_4.mm,242,663388,1719502,25,Optimal,0.76,No,,,,,,
j3064_5.mm,241,626227,1620710,36,Optimal,0.83,No,,,,,,
j3064_6.mm,246,614593,1601710,29,Optimal,0.72,No,,,,,,
j3064_7.mm,234,474439,1305962,34,Optimal,0.67,No,,,,,,
j3064_8.mm,248,604878,1602971,23,Optimal,0.76,No,,,,,,
j3064_9.mm,241,572394,1507446,31,Optimal,0.75,No,,,,,,
j306_1.mm,239,431490,1249714,,Infeasible,0.05,No,,,,,,
j306_10.mm,224,530032,1380628,,Infeasible,0.1,No,,,,,,
j306_2.mm,237,392277,1180413,,Infeasible,0.08,No,,,,,,
j306_3.mm,249,492473,1353623,,Infeasible,0.64,No,,,,,,
j306_4.mm,229,369941,1127715,,Infeasible,0.26,No,,,,,,
j306_5.mm,247,427344,1282832,,Infeasible,0.06,No,,,,,,
j306_6.mm,223,454134,1249704,,Infeasible,0.12,No,,,,,,
j306_7.mm,242,510644,1386808,,Infeasible,0.09,No,,,,,,
j306_8.mm,252,551185,1497758,,Infeasible,0.19,No,,,,,,
j306_9.mm,246,443960,1274353,,Infeasible,0.33,No,,,,,,
j307_1.mm,227,506295,1346810,,Infeasible,0.12,No,,,,,,
j307_10.mm,238,551905,1464065,,Infeasible,0.03,No,,,,,,
j307_2.mm,221,460728,1258755,,Infeasible,0.15,No,,,,,,
j307_3.mm,239,539827,1462478,,Infeasible,0.06,No,,,,,,
j307_4.mm,248,553643,1495758,,Infeasible,0.17,No,,,,,,
j307_5.mm,249,569560,1509604,,Infeasible,0.07,No,,,,,,
j307_6.mm,220,451287,1218318,,Infeasible,0.05,No,,,,,,
j307_7.mm,241,558162,1478514,,Infeasible,0.12,No,,,,,,
j307_8.mm,241,535172,1449141,47,Optimal,1.24,No,,,,,,
j307_9.mm,239,476515,1306558,,Infeasible,0.25,No,,,,,,
j308_1.mm,226,667401,1606718,,Infeasible,0.18,No,,,,,,
j308_10.mm,242,518582,1379161,,Infeasible,0.22,No,,,,,,
j308_2.mm,229,624835,1545316,,Infeasible,0.22,No,,,,,,
j308_3.mm,239,572747,1513044,,Infeasible,0.05,No,,,,,,
j308_4.mm,224,492300,1314006,,Infeasible,0.03,No,,,,,,
j308_5.mm,259,599634,1598484,,Infeasible,0.27,No,,,,,,
j308_6.mm,238,766736,1849168,46,Optimal,0.75,No,,,,,,
j308_7.mm,239,542629,1432038,,Infeasible,0.11,No,,,,,,
j308_8.mm,238,560130,1468452,,Infeasible,0.16,No,,,,,,
j308_9.mm,235,484167,1314920,,Infeasible,0.11,No,,,,,,
j309_1.mm,225,175785,638225,37,Optimal,0.42,No,,,,,,
j309_10.mm,226,162365,598908,28,Optimal,0.46,No,,,,,,
j309_2.mm,254,182395,699761,29,Optimal,0.79,No,,,,,,
j309_3.mm,238,174137,640539,35,Optimal,0.55,No,,,,,,
j309_4.mm,224,182909,661549,30,Optimal,0.64,No,,,,,,
j309_5.mm,253,188627,702113,47,Optimal,0.42,No,,,,,,
j309_6.mm,237,207287,728913,37,Optimal,0.56,No,,,,,,
j309_7.mm,229,201158,705838,35,Optimal,0.58,No,,,,,,
j309_8.mm,216,176405,633431,30,Optimal,0.43,No,,,,,,
j309_9.mm,237,204200,735272,32,Optimal,0.45,No,,,,,,
