instance,horizon,variables,clauses,makespan,status,Solve time,timeout,error,,,534,18,88
j3018_6.mm,239,252499,813454,25,Optimal,0.49,No,,,,,,
j3018_7.mm,246,236254,797101,35,Optimal,0.51,No,,,,,,
j3018_8.mm,256,278528,897172,18,Optimal,0.58,No,,,,,,
j3018_9.mm,233,220781,744257,25,Optimal,0.49,No,,,,,,
j3019_1.mm,237,199209,709403,35,Optimal,0.47,No,,,,,,
j3019_10.mm,241,228829,779149,29,Optimal,0.52,No,,,,,,
j3019_2.mm,232,258888,814372,21,Optimal,0.45,No,,,,,,
j3019_3.mm,232,256075,802523,31,Optimal,0.46,No,,,,,,
j3019_4.mm,237,245381,783612,30,Optimal,0.47,No,,,,,,
j3019_5.mm,213,234036,737572,27,Optimal,0.44,No,,,,,,
j3019_6.mm,238,246981,791877,24,Optimal,0.46,No,,,,,,
j3019_7.mm,238,228065,758308,36,Optimal,0.46,No,,,,,,
j3019_8.mm,246,268322,849141,34,Optimal,0.51,No,,,,,,
j3019_9.mm,227,214751,734688,25,Optimal,0.49,No,,,,,,
j301_1.mm,228,166988,615113,,Infeasible,0.26,No,,,,,,
j301_10.mm,241,216891,761134,,Infeasible,0.38,No,,,,,,
j301_2.mm,252,207254,738949,,Infeasible,0.05,No,,,,,,
j301_3.mm,235,192081,689821,,Infeasible,0.06,No,,,,,,
j301_4.mm,241,178098,659935,,Infeasible,0.25,No,,,,,,
j301_5.mm,237,191244,702320,,Infeasible,0.11,No,,,,,,
j301_6.mm,243,207046,738216,,Infeasible,0.09,No,,,,,,
j301_7.mm,236,213447,738466,,Infeasible,0.1,No,,,,,,
j301_8.mm,224,149514,568248,,Infeasible,0.05,No,,,,,,
j301_9.mm,252,205337,756744,,Infeasible,0.06,No,,,,,,
j3020_1.mm,246,288712,899852,30,Optimal,0.5,No,,,,,,
j3020_10.mm,256,302490,932309,28,Optimal,0.5,No,,,,,,
j3020_2.mm,247,261241,816334,25,Optimal,0.47,No,,,,,,
j3020_3.mm,210,247544,756587,27,Optimal,0.48,No,,,,,,
j3020_4.mm,244,269275,855496,35,Optimal,0.52,No,,,,,,
j3020_5.mm,242,256922,827268,29,Optimal,0.46,No,,,,,,
j3020_6.mm,232,240593,752382,24,Optimal,0.47,No,,,,,,
j3020_7.mm,233,255001,817570,30,Optimal,0.52,No,,,,,,
j3020_8.mm,218,237251,732576,33,Optimal,0.46,No,,,,,,
j3020_9.mm,246,333324,983328,26,Optimal,0.53,No,,,,,,
j3021_1.mm,222,338015,1037074,38,Optimal,15.27,No,,,,,,
j3021_10.mm,226,393564,1171670,45,Optimal,20.03,No,,,,,,
j3021_2.mm,252,450117,1336055,34,Optimal,212.45,No,,,,,,
j3021_3.mm,227,391710,1165093,36,Optimal,139.15,No,,,,,,
j3021_4.mm,216,376545,1128510,37,Optimal,6.9,No,,,,,,
j3021_5.mm,237,376497,1127895,37,Optimal,60.03,No,,,,,,
j3021_6.mm,246,430903,1279931,33,Optimal,16.63,No,,,,,,
j3021_7.mm,247,427840,1292865,36,Optimal,135.39,No,,,,,,
j3021_8.mm,241,364876,1106120,44,Optimal,8.24,No,,,,,,
j3021_9.mm,242,426072,1258311,32,Optimal,11.41,No,,,,,,
j3022_1.mm,260,577344,1557821,26,Optimal,1.07,No,,,,,,
j3022_10.mm,236,544562,1452160,23,Optimal,0.69,No,,,,,,
j3022_2.mm,241,391402,1191382,36,Optimal,1.18,No,,,,,,
j3022_3.mm,245,547035,1472280,25,Optimal,0.8,No,,,,,,
j3022_4.mm,236,550324,1460916,26,Optimal,0.9,No,,,,,,
j3022_5.mm,252,499781,1390014,30,Optimal,4.71,No,,,,,,
j3022_6.mm,220,406614,1147470,31,Optimal,0.78,No,,,,,,
j3022_7.mm,247,494478,1344898,38,Optimal,0.64,No,,,,,,
j3022_8.mm,227,426552,1216483,33,Optimal,1.73,No,,,,,,
j3022_9.mm,240,491743,1353277,34,Optimal,0.64,No,,,,,,
j3023_1.mm,223,527512,1396027,25,Optimal,0.62,No,,,,,,
j3023_10.mm,255,594474,1592727,21,Optimal,0.69,No,,,,,,
j3023_2.mm,226,524477,1381444,33,Optimal,0.72,No,,,,,,
j3023_3.mm,236,565136,1478468,23,Optimal,0.93,No,,,,,,
j3023_4.mm,246,570354,1502420,24,Optimal,0.73,No,,,,,,
j3023_5.mm,240,509463,1377131,32,Optimal,0.68,No,,,,,,
j3023_6.mm,233,532393,1416509,27,Optimal,0.67,No,,,,,,
j3023_7.mm,232,521866,1401051,24,Optimal,0.72,No,,,,,,
j3023_8.mm,236,588862,1525421,23,Optimal,0.73,No,,,,,,
j3023_9.mm,231,582970,1518522,26,Optimal,0.66,No,,,,,,
j3024_1.mm,237,567000,1469930,27,Optimal,0.65,No,,,,,,
j3024_10.mm,237,494351,1331016,37,Optimal,0.63,No,,,,,,
j3024_2.mm,231,507099,1369242,31,Optimal,0.66,No,,,,,,
j3024_3.mm,238,621126,1577917,21,Optimal,0.68,No,,,,,,
j3024_4.mm,239,599997,1577103,29,Optimal,0.74,No,,,,,,
j3024_5.mm,235,533569,1433814,37,Optimal,0.65,No,,,,,,
j3024_6.mm,238,551530,1460663,30,Optimal,0.63,No,,,,,,
j3024_7.mm,227,573377,1492982,29,Optimal,0.64,No,,,,,,
j3024_8.mm,249,533213,1433112,38,Optimal,0.64,No,,,,,,
j3024_9.mm,237,565516,1503486,31,Optimal,0.66,No,,,,,,
j3025_1.mm,241,195235,710293,34,Optimal,0.43,No,,,,,,
j3025_10.mm,245,220558,780864,28,Optimal,0.48,No,,,,,,
j3025_2.mm,252,189888,708835,35,Optimal,0.58,No,,,,,,
j3025_3.mm,243,206649,725429,32,Optimal,0.42,No,,,,,,
j3025_4.mm,240,191697,705940,46,Optimal,0.35,No,,,,,,
j3025_5.mm,251,208462,750057,40,Optimal,0.48,No,,,,,,
j3025_6.mm,260,227271,809132,32,Optimal,0.64,No,,,,,,
j3025_7.mm,237,176119,647097,35,Optimal,0.45,No,,,,,,
j3025_8.mm,243,202254,730381,41,Optimal,0.48,No,,,,,,
j3025_9.mm,240,184092,654212,51,Optimal,0.46,No,,,,,,
j3026_1.mm,228,222999,749790,21,Optimal,0.47,No,,,,,,
j3026_10.mm,243,235837,802930,22,Optimal,0.48,No,,,,,,
j3026_2.mm,245,241730,788537,22,Optimal,0.55,No,,,,,,
j3026_3.mm,223,216823,726647,42,Optimal,0.47,No,,,,,,
j3026_4.mm,241,197402,720810,34,Optimal,0.44,No,,,,,,
j3026_5.mm,242,223428,772671,22,Optimal,0.56,No,,,,,,
j3026_6.mm,232,223273,751955,29,Optimal,0.48,No,,,,,,
j3026_7.mm,249,221027,775062,29,Optimal,0.51,No,,,,,,
j3026_8.mm,242,226219,793297,40,Optimal,0.51,No,,,,,,
j3026_9.mm,233,174205,665969,21,Optimal,0.41,No,,,,,,
j3027_1.mm,240,245482,779884,38,Optimal,0.52,No,,,,,,
j3027_10.mm,229,251909,788836,29,Optimal,0.53,No,,,,,,
j3027_2.mm,246,264390,842150,29,Optimal,0.56,No,,,,,,
j3027_3.mm,235,240967,779771,28,Optimal,0.44,No,,,,,,
j3027_4.mm,223,234093,736731,28,Optimal,0.47,No,,,,,,
j3027_5.mm,235,260786,819769,40,Optimal,0.53,No,,,,,,
j3027_6.mm,251,272412,879066,25,Optimal,0.51,No,,,,,,
j3027_7.mm,240,256349,824667,30,Optimal,0.48,No,,,,,,
j3027_8.mm,250,224263,764086,42,Optimal,0.6,No,,,,,,
j3027_9.mm,234,220852,733091,37,Optimal,0.49,No,,,,,,
j3028_1.mm,233,253932,809299,37,Optimal,0.48,No,,,,,,
j3028_10.mm,234,269967,865328,26,Optimal,0.51,No,,,,,,
j3028_2.mm,246,242841,811656,25,Optimal,0.51,No,,,,,,
j3028_3.mm,222,239394,749008,31,Optimal,0.44,No,,,,,,
j3028_4.mm,246,253979,827940,33,Optimal,0.49,No,,,,,,
j3028_5.mm,232,286568,871469,23,Optimal,0.51,No,,,,,,
j3028_6.mm,251,279661,900497,29,Optimal,0.52,No,,,,,,
j3028_7.mm,245,279284,865982,37,Optimal,0.46,No,,,,,,
j3028_8.mm,239,222420,748802,36,Optimal,0.44,No,,,,,,
j3028_9.mm,245,285146,893550,28,Optimal,0.49,No,,,,,,
j3029_1.mm,239,368107,1136940,46,Optimal,20.98,No,,,,,,
j3029_10.mm,245,440134,1321547,36,Optimal,18.11,No,,,,,,
j3029_2.mm,234,430476,1290062,34,Optimal,75.98,No,,,,,,
j3029_3.mm,237,405635,1217074,32,Optimal,10.33,No,,,,,,
j3029_4.mm,246,398369,1220485,33,Optimal,5.96,No,,,,,,
j3029_5.mm,250,428496,1287973,34,Optimal,35.28,No,,,,,,
j3029_6.mm,249,358511,1118314,42,Optimal,21.11,No,,,,,,
j3029_7.mm,232,395347,1174577,38,Optimal,12.59,No,,,,,,
j3029_8.mm,238,386545,1159696,50,Optimal,28.87,No,,,,,,
j3029_9.mm,253,477276,1388143,37,Optimal,21.36,No,,,,,,
j302_1.mm,242,241046,801586,,Infeasible,0.08,No,,,,,,
j302_10.mm,255,212291,769714,,Infeasible,0.18,No,,,,,,
j302_2.mm,221,218719,717002,,Infeasible,0.17,No,,,,,,
j302_3.mm,234,235002,774531,,Infeasible,0.11,No,,,,,,
j302_4.mm,251,249030,829639,,Infeasible,0.23,No,,,,,,
j302_5.mm,250,199082,750700,,Infeasible,0.08,No,,,,,,
j302_6.mm,244,210480,749828,,Infeasible,0.15,No,,,,,,
j302_7.mm,241,243726,831709,,Infeasible,0.08,No,,,,,,
j302_8.mm,235,190856,688792,,Infeasible,0.07,No,,,,,,
j302_9.mm,233,187815,672277,,Infeasible,0.04,No,,,,,,
j3030_1.mm,242,385879,1185343,36,Optimal,0.84,No,,,,,,
j3030_10.mm,230,531384,1397737,19,Optimal,1.04,No,,,,,,
j3030_2.mm,227,427448,1220227,30,Optimal,0.9,No,,,,,,
j3030_3.mm,235,459931,1313184,29,Optimal,5.36,No,,,,,,
j3030_4.mm,231,394361,1190634,35,Optimal,0.65,No,,,,,,
j3030_5.mm,239,451287,1277746,30,Optimal,1.05,No,,,,,,
j3030_6.mm,249,459138,1327821,41,Optimal,0.78,No,,,,,,
j3030_7.mm,250,501328,1392726,27,Optimal,0.71,No,,,,,,
j3030_8.mm,243,414096,1252455,28,Optimal,1.29,No,,,,,,
j3030_9.mm,236,487019,1304485,36,Optimal,0.63,No,,,,,,
j3031_1.mm,237,497099,1366818,25,Optimal,0.68,No,,,,,,
j3031_10.mm,229,522915,1448214,20,Optimal,0.71,No,,,,,,
j3031_2.mm,246,491407,1351562,43,Optimal,0.63,No,,,,,,
j3031_3.mm,219,480829,1284844,31,Optimal,0.68,No,,,,,,
j3031_4.mm,224,489646,1311181,29,Optimal,0.63,No,,,,,,
j3031_5.mm,238,527132,1423145,43,Optimal,0.69,No,,,,,,
j3031_6.mm,254,520548,1435783,32,Optimal,0.71,No,,,,,,
