instance,horizon,variables,clauses,makespan,status,Solve time,timeout
j3010_1.mm,247,298357,1314417,26,Optimal,12.52,No
j3010_10.mm,260,249703,1269518,32,Optimal,12.73,No
j3010_2.mm,241,269693,1233223,28,Optimal,11.77,No
j3010_3.mm,240,301031,1300627,24,Optimal,11.57,No
j3010_4.mm,237,235952,1126399,36,Optimal,12.27,No
j3010_5.mm,237,241544,1138671,33,Optimal,13.41,No
j3010_6.mm,238,351828,1391148,25,Optimal,16.17,No
j3010_7.mm,233,319351,1301916,22,Optimal,16.94,No
j3010_8.mm,243,340773,1392364,31,Optimal,17.66,No
j3010_9.mm,237,256697,1176357,38,Optimal,16.75,No
j3011_1.mm,232,357272,1357743,35,Optimal,21.35,No
j3011_10.mm,252,375973,1492854,35,Optimal,21.89,No
j3011_2.mm,232,300465,1241219,28,Optimal,21.34,No
j3011_3.mm,234,363049,1377563,31,Optimal,24.73,No
j3011_4.mm,214,281230,1130481,35,Optimal,23.02,No
j3011_5.mm,250,388783,1511555,35,Optimal,26.92,No
j3011_6.mm,258,450481,1653719,33,Optimal,30.63,No
j3011_7.mm,252,387257,1515344,32,Optimal,30.53,No
j3011_8.mm,238,399398,1482256,30,Optimal,31.82,No
j3011_9.mm,234,361777,1383711,26,Optimal,32.04,No
