instance,horizon,variables,clauses,makespan,status,Solve time,timeout,error
j3010_1.mm,247,236597,1264354,26,Optimal,10.53,No,
j3010_10.mm,260,215192,1282000,32,Optimal,10.54,No,
j3010_2.mm,241,193879,1162155,28,Optimal,9.87,No,
j3010_3.mm,240,222125,1238263,24,Optimal,10.59,No,
j3010_4.mm,237,204193,1148818,36,Optimal,9.56,No,
j3010_5.mm,237,178555,1084750,33,Optimal,9.26,No,
j3010_6.mm,238,243045,1245010,25,Optimal,10.12,No,
j3010_7.mm,233,223064,1178030,22,Optimal,9.75,No,
j3010_8.mm,243,251090,1287065,31,Optimal,11.70,No,
j3010_9.mm,237,199484,1138026,38,Optimal,9.04,No,
j3011_1.mm,232,251966,1212254,35,Optimal,9.65,No,
j3011_10.mm,252,261046,1336786,35,Optimal,11.78,No,
j3011_2.mm,232,219732,1157192,28,Optimal,9.37,No,
j3011_3.mm,234,259794,1241230,31,Optimal,10.18,No,
j3011_4.mm,214,205002,1039916,35,Optimal,9.45,No,
j3011_5.mm,250,262616,1340702,35,Optimal,10.81,No,
j3011_6.mm,258,289250,1412703,33,Optimal,12.03,No,
j3011_7.mm,252,266679,1349561,32,Optimal,11.83,No,
j3011_8.mm,238,242022,1235689,30,Optimal,10.12,No,
j3011_9.mm,234,242761,1218046,26,Optimal,11.01,No,
j3012_1.mm,241,263554,1296048,29,Optimal,10.62,No,
j3012_10.mm,239,279737,1317107,28,Optimal,11.20,No,
j3012_2.mm,254,286301,1397521,31,Optimal,12.39,No,
j3012_3.mm,270,352249,1610675,34,Optimal,13.46,No,
j3012_4.mm,228,237681,1171564,29,Optimal,9.67,No,
j3012_5.mm,234,272764,1292493,25,Optimal,10.51,No,
j3012_6.mm,252,269979,1340180,34,Optimal,11.25,No,
j3012_7.mm,243,266326,1302970,27,Optimal,11.14,No,
j3012_8.mm,234,279385,1292147,28,Optimal,10.65,No,
j3012_9.mm,239,302652,1376501,22,Optimal,11.33,No,
j3013_1.mm,236,386741,1566364,37,Optimal,16.40,No,
j3013_10.mm,,0,0,,Infeasible,733.76,Yes,wall-time kill (parent)
j3013_2.mm,238,417279,1705753,40,Optimal,189.33,No,
j3013_3.mm,241,460504,1826511,41,Optimal,292.26,No,
j3013_4.mm,235,431023,1727315,41,Optimal,293.88,No,
j3013_5.mm,238,390122,1640818,38,Optimal,150.14,No,
j3013_6.mm,239,437113,1733138,38,Optimal,33.28,No,
j3013_7.mm,237,397541,1632345,41,Optimal,72.50,No,
j3013_8.mm,213,367730,1446934,28,Optimal,14.12,No,
j3013_9.mm,224,399925,1594329,30,Optimal,125.80,No,
j3014_1.mm,250,484110,1838818,37,Optimal,16.66,No,
j3014_10.mm,226,394830,1579368,29,Optimal,15.90,No,
j3014_2.mm,234,441527,1697636,32,Optimal,18.42,No,
j3014_3.mm,246,449041,1748159,30,Optimal,18.70,No,
j3014_4.mm,245,453593,1784379,34,Optimal,19.81,No,
j3014_5.mm,242,549414,1916213,26,Optimal,18.52,No,
j3014_6.mm,236,515094,1809462,29,Optimal,15.32,No,
j3014_7.mm,228,438962,1649228,34,Optimal,15.04,No,
j3014_8.mm,232,380119,1558308,41,Optimal,13.18,No,
j3014_9.mm,245,540900,1918924,31,Optimal,17.84,No,
j3015_1.mm,257,594576,2109288,40,Optimal,18.36,No,
j3015_10.mm,254,604990,2104185,38,Optimal,18.60,No,
j3015_2.mm,248,619360,2089060,34,Optimal,18.64,No,
j3015_3.mm,241,489928,1784570,33,Optimal,15.05,No,
j3015_4.mm,236,528653,1855318,30,Optimal,16.25,No,
j3015_5.mm,215,475710,1628621,24,Optimal,17.73,No,
j3015_6.mm,232,529845,1846158,22,Optimal,16.28,No,
j3015_7.mm,244,549733,1938702,27,Optimal,16.60,No,
j3015_8.mm,247,525278,1925893,23,Optimal,16.09,No,
j3015_9.mm,247,612389,2095946,28,Optimal,18.80,No,
