instance,horizon,variables,clauses,makespan,status,Solve time,timeout,error
J50100_1.mm,399,876079,7919583,222,Feasible,18.42,Yes,wall-time kill (parent)
J50100_2.mm,396,780743,8584176,221,Feasible,18.08,Yes,wall-time kill (parent)
J50100_3.mm,405,780610,8184337,225,Feasible,18.08,Yes,wall-time kill (parent)
J50100_4.mm,402,784406,8265921,222,Feasible,18.08,Yes,wall-time kill (parent)
J50100_5.mm,400,801667,8002250,222,Feasible,18.64,Yes,wall-time kill (parent)
J50101_1.mm,400,782049,8455285,220,Feasible,18.09,Yes,wall-time kill (parent)
J50101_2.mm,399,751296,8037394,222,Feasible,18.13,Yes,wall-time kill (parent)
J50101_3.mm,397,798001,7429396,128,Feasible,18.05,Yes,wall-time kill (parent)
J50101_4.mm,376,747127,7377053,120,Feasible,18.25,Yes,wall-time kill (parent)
J50101_5.mm,389,788197,8523269,212,Feasible,18.08,Yes,wall-time kill (parent)
J50102_1.mm,412,799757,8650583,225,Feasible,18.09,Yes,wall-time kill (parent)
J50102_2.mm,402,803048,8207860,222,Feasible,18.08,Yes,wall-time kill (parent)
J50102_3.mm,378,857104,7743644,206,Feasible,18.14,Yes,wall-time kill (parent)
J50102_4.mm,408,798357,9478555,222,Feasible,18.09,Yes,wall-time kill (parent)
J50102_5.mm,421,808705,9864780,230,Feasible,18.08,Yes,wall-time kill (parent)
J50103_1.mm,,0,0,,Feasible,18.13,Yes,wall-time kill (parent)
J50103_2.mm,,0,0,,Feasible,18.13,Yes,wall-time kill (parent)
J50103_3.mm,,0,0,,Feasible,18.13,Yes,wall-time kill (parent)
J50103_4.mm,,0,0,,Feasible,18.12,Yes,wall-time kill (parent)
J50103_5.mm,,0,0,,Feasible,18.13,Yes,wall-time kill (parent)
