instance,horizon,variables,clauses,makespan,status,Solve time,timeout,error
J5061_2.mm,172,1013109,10655034,48,Feasible,1201.27,Yes,wall-time kill (parent)
J5061_3.mm,164,978869,11004244,46,Feasible,1201.18,Yes,wall-time kill (parent)
J5061_4.mm,155,945983,11364647,40,Feasible,1201.27,Yes,wall-time kill (parent)
J5067_4.mm,147,2285613,14455397,30,Optimal,1020.66,No,
J5067_5.mm,141,2190912,15414340,43,Feasible,1201.78,Yes,wall-time kill (parent)
J5073_2.mm,139,646851,8943530,91,Feasible,1201.22,Yes,wall-time kill (parent)
J5073_3.mm,146,588544,6954349,71,Feasible,1201.15,Yes,wall-time kill (parent)
J5073_4.mm,176,567220,6768983,75,Optimal,1024.69,No,
J5074_3.mm,160,615291,8053556,65,Optimal,612.44,No,
J5079_1.mm,157,1160025,9594653,100,Feasible,1201.22,Yes,wall-time kill (parent)
J5079_2.mm,140,1265024,10676324,94,Feasible,1201.27,Yes,wall-time kill (parent)
J5079_3.mm,147,1378438,10215465,73,Optimal,760.92,No,
J5079_4.mm,134,1132509,10287874,74,Feasible,1201.27,Yes,wall-time kill (parent)
J5079_5.mm,,0,0,,Feasible,1201.22,Yes,wall-time kill (parent)
J507_1.mm,134,1749983,13970541,50,Feasible,1201.34,Yes,wall-time kill (parent)
J507_2.mm,157,1621436,12017318,59,Feasible,1201.32,Yes,wall-time kill (parent)
J507_3.mm,149,1683035,13517222,56,Feasible,1201.24,Yes,wall-time kill (parent)
J507_4.mm,174,1492918,11186616,66,Feasible,1201.27,Yes,wall-time kill (parent)
J507_5.mm,139,1535260,13064355,53,Feasible,1201.27,Yes,wall-time kill (parent)
J5080_1.mm,131,1231504,11316960,86,Feasible,1201.27,Yes,wall-time kill (parent)
J5080_2.mm,143,1231687,9120661,94,Feasible,1201.22,Yes,wall-time kill (parent)
J5080_3.mm,171,1169013,9058395,113,Feasible,1201.16,Yes,wall-time kill (parent)
J5080_4.mm,153,1261568,9783048,98,Feasible,1201.21,Yes,wall-time kill (parent)
J5080_5.mm,145,1140235,8858585,95,Feasible,1201.20,Yes,wall-time kill (parent)
J5081_3.mm,158,1056908,7585910,59,Feasible,1201.23,Yes,wall-time kill (parent)
J5081_4.mm,161,1173776,8181326,67,Feasible,1201.27,Yes,wall-time kill (parent)
J5081_5.mm,145,1237332,9968417,55,Feasible,1201.24,Yes,wall-time kill (parent)
J5082_1.mm,137,1101309,8465362,69,Feasible,1201.27,Yes,wall-time kill (parent)
J5082_2.mm,137,1155756,11148523,90,Feasible,1201.27,Yes,wall-time kill (parent)
J5082_3.mm,148,1165937,9454475,70,Feasible,1201.20,Yes,wall-time kill (parent)
J5082_4.mm,162,1234319,9557878,77,Feasible,1201.23,Yes,wall-time kill (parent)
J5082_5.mm,152,1159192,9129804,54,Feasible,1201.32,Yes,wall-time kill (parent)
J5083_4.mm,69,1250220,10596978,56,Optimal,615.84,No,
J5084_3.mm,154,1221915,9122124,60,Optimal,844.57,No,
J5084_4.mm,141,1122663,9083158,59,Optimal,742.93,No,
J5084_5.mm,144,1263869,9320269,61,Feasible,1201.32,Yes,wall-time kill (parent)
J5085_1.mm,139,649424,8162862,73,Optimal,1080.24,No,
J5085_4.mm,153,748480,9613264,86,Optimal,1121.72,No,
J5085_5.mm,156,706684,7840521,77,Optimal,724.61,No,
J508_1.mm,142,1862685,14273433,53,Feasible,1201.32,Yes,wall-time kill (parent)
J508_2.mm,144,1846961,13762298,37,Feasible,1201.32,Yes,wall-time kill (parent)
J508_3.mm,138,1621215,12152661,52,Feasible,1201.33,Yes,wall-time kill (parent)
J508_4.mm,151,1832338,14240121,40,Feasible,1201.32,Yes,wall-time kill (parent)
J508_5.mm,172,1555809,12054147,50,Feasible,1201.32,Yes,wall-time kill (parent)
J5091_2.mm,142,1037197,7738213,77,Feasible,1201.27,Yes,wall-time kill (parent)
J5091_3.mm,124,1445076,9714035,55,Feasible,1201.33,Yes,wall-time kill (parent)
J5091_5.mm,127,1435962,9830805,61,Optimal,539.32,No,
J5092_4.mm,141,1495951,10077576,67,Feasible,1201.27,Yes,wall-time kill (parent)
J5097_3.mm,155,762643,7622213,69,Feasible,1201.23,Yes,wall-time kill (parent)
J5097_4.mm,141,748402,8071185,58,Feasible,1201.27,Yes,wall-time kill (parent)
J5097_5.mm,145,822382,8143394,75,Feasible,1201.31,Yes,wall-time kill (parent)
J509_1.mm,143,1572828,11550113,41,Feasible,1201.32,Yes,wall-time kill (parent)
J509_2.mm,147,1773971,13534462,28,Feasible,1201.29,Yes,wall-time kill (parent)
J509_3.mm,135,1703080,12720522,30,Feasible,1201.37,Yes,wall-time kill (parent)
J509_4.mm,128,1623071,13957052,28,Feasible,1201.37,Yes,wall-time kill (parent)
J509_5.mm,158,1821364,13208026,33,Feasible,1201.31,Yes,wall-time kill (parent)
