instance,horizon,variables,clauses,makespan,status,Solve time,timeout,error
J5025_3.mm,159,1061036,11361408,26,Optimal,687.14,No,
J5025_4.mm,153,1038960,9787453,34,Feasible,1201.22,Yes,wall-time kill (parent)
J502_2.mm,152,869368,12893992,25,Optimal,744.57,No,
J5031_2.mm,168,2586232,13410562,31,Feasible,1201.34,Yes,wall-time kill (parent)
J5031_3.mm,132,2280354,14234228,27,Optimal,854.16,No,
J5031_4.mm,145,2369839,14743861,25,Feasible,1201.37,Yes,wall-time kill (parent)
J5037_2.mm,151,684444,12485044,42,Optimal,779.77,No,
J5037_3.mm,152,911735,13492744,47,Feasible,1201.27,Yes,wall-time kill (parent)
J5037_4.mm,155,674590,10373129,40,Optimal,569.76,No,
J5043_1.mm,158,1260712,11185121,99,Feasible,1201.22,Yes,wall-time kill (parent)
J5043_2.mm,156,1230948,12571371,98,Feasible,1201.27,Yes,wall-time kill (parent)
J5043_3.mm,125,1330926,12399522,80,Feasible,1201.27,Yes,wall-time kill (parent)
J5043_4.mm,156,1537555,13814771,61,Feasible,1201.27,Yes,wall-time kill (parent)
J5043_5.mm,155,1545146,13907857,96,Feasible,1201.27,Yes,wall-time kill (parent)
J5044_1.mm,150,1505656,11644492,63,Feasible,1201.27,Yes,wall-time kill (parent)
J5044_2.mm,123,1637838,14577979,51,Feasible,1201.33,Yes,wall-time kill (parent)
J5044_3.mm,134,1231589,11809811,84,Feasible,1201.14,Yes,wall-time kill (parent)
J5044_4.mm,140,1397375,12637179,60,Feasible,1201.20,Yes,wall-time kill (parent)
J5044_5.mm,163,1606542,12437170,50,Feasible,1201.31,Yes,wall-time kill (parent)
J5045_1.mm,162,1562731,13551807,57,Feasible,1201.32,Yes,wall-time kill (parent)
J5045_2.mm,149,1460261,11977766,44,Feasible,1201.27,Yes,wall-time kill (parent)
J5045_3.mm,166,1464978,11698271,43,Feasible,1201.31,Yes,wall-time kill (parent)
J5045_4.mm,132,1565072,13097544,38,Feasible,1201.33,Yes,wall-time kill (parent)
J5045_5.mm,158,1472826,12481858,54,Feasible,1201.26,Yes,wall-time kill (parent)
J5046_1.mm,131,1382881,12541509,60,Feasible,1201.27,Yes,wall-time kill (parent)
J5046_2.mm,152,1551125,12949144,49,Feasible,1201.32,Yes,wall-time kill (parent)
J5046_3.mm,179,1678676,14337332,55,Feasible,1201.25,Yes,wall-time kill (parent)
J5046_4.mm,128,1479618,11736563,38,Feasible,1201.32,Yes,wall-time kill (parent)
J5046_5.mm,155,1587057,14360462,46,Feasible,1201.32,Yes,wall-time kill (parent)
J5047_1.mm,42,1416578,11026960,38,Feasible,1201.25,Yes,wall-time kill (parent)
J5047_2.mm,157,1588293,13081264,44,Feasible,1201.31,Yes,wall-time kill (parent)
J5047_3.mm,52,1360252,11689794,45,Feasible,1201.27,Yes,wall-time kill (parent)
J5047_4.mm,52,1366283,10710498,41,Feasible,1201.27,Yes,wall-time kill (parent)
J5047_5.mm,,0,0,,Feasible,1202.43,Yes,wall-time kill (parent)
J5048_1.mm,179,1646343,13381399,36,Feasible,1218.80,Yes,wall-time kill (parent)
J5048_2.mm,132,1382288,10804668,46,Feasible,1222.30,Yes,wall-time kill (parent)
J5048_3.mm,160,1657398,13285753,34,Feasible,1224.56,Yes,wall-time kill (parent)
J5048_4.mm,119,1566812,13250328,40,Feasible,1226.36,Yes,wall-time kill (parent)
J5048_5.mm,144,1600193,13621404,49,Feasible,1229.63,Yes,wall-time kill (parent)
J5049_5.mm,143,907922,11480808,37,Feasible,1203.50,Yes,
J504_5.mm,174,846395,11618018,26,Feasible,1232.30,Yes,wall-time kill (parent)
J5055_1.mm,137,1852208,11990700,37,Optimal,616.01,No,
J5055_2.mm,134,1671103,10599287,40,Optimal,577.92,No,
J5055_3.mm,144,1897171,14402003,40,Feasible,1228.57,Yes,wall-time kill (parent)
J5055_4.mm,133,1575217,12169454,40,Optimal,1172.60,No,
J5055_5.mm,160,1858954,12905120,42,Optimal,923.52,No,
J5056_1.mm,145,1736532,14888606,37,Feasible,1236.09,Yes,wall-time kill (parent)
J5056_4.mm,160,1918427,13841169,36,Feasible,1238.08,Yes,wall-time kill (parent)
J5056_5.mm,153,1805676,14496375,40,Feasible,1233.82,Yes,wall-time kill (parent)
J5057_1.mm,139,1772539,14112694,27,Feasible,1223.99,Yes,wall-time kill (parent)
J5058_1.mm,154,1837103,14466238,34,Optimal,711.49,No,
J5058_4.mm,149,1901685,15398791,29,Feasible,1201.38,Yes,wall-time kill (parent)
J5058_5.mm,144,1829687,14004179,31,Feasible,1201.27,Yes,wall-time kill (parent)
